Host,HostCode,Target,TargetCode,Amount,
Afghanistan,AFG,"Korea, Democratic People’s Republic of",PRK,18240.00,
Afghanistan,AFG,"Korea, Republic of",KOR,58560.00,
Afghanistan,AFG,Kuwait,KWT,35520.00,
Afghanistan,AFG,Kyrgyzstan,KGZ,24960.00,
Afghanistan,AFG,Lao People’s Democratic Republic,LAO,14400.00,
Afghanistan,AFG,Latvia,LVA,8640.00,
Afghanistan,AFG,Lebanon,LBN,21120.00,
Afghanistan,AFG,Lesotho,LSO,2208.00,
Afghanistan,AFG,Liberia,LBR,4416.00,
Afghanistan,AFG,Libyan Arab Jamahiriya,LBY,3312.00,
Afghanistan,AFG,Liechtenstein,LIE,0.00,
Afghanistan,AFG,Lithuania,LTU,11520.00,
Afghanistan,AFG,Luxembourg,LUX,9600.00,
Afghanistan,AFG,Macau,MAC,3840.00,
Afghanistan,AFG,"Macedonia, the former Yugoslav Republic of",MKD,9600.00,
Afghanistan,AFG,Madagascar,MDG,6624.00,
Afghanistan,AFG,Malawi,MWI,5520.00,
Afghanistan,AFG,Malaysia,MYS,85440.00,
Afghanistan,AFG,Maldives,MDV,960.00,
Afghanistan,AFG,Mali,MLI,75072.00,
Afghanistan,AFG,Malta,MLT,3840.00,
Afghanistan,AFG,Marshall Islands,MHL,960.00,
Afghanistan,AFG,Martinique,MTQ,0.00,
Afghanistan,AFG,Mauritania,MRT,4416.00,
Afghanistan,AFG,Mauritius,MUS,6624.00,
Afghanistan,AFG,Mayotte,MYT,0.00,
Afghanistan,AFG,Mexico,MEX,406080.00,
Afghanistan,AFG,"Micronesia, Federated States of",FSM,960.00,
Afghanistan,AFG,"Moldova, Republic of",MDA,25920.00,
Afghanistan,AFG,Monaco,MCO,960.00,
Afghanistan,AFG,Mongolia,MNG,0.00,
Afghanistan,AFG,Montserrat,MSR,960.00,
Afghanistan,AFG,Morocco,MAR,119232.00,
Afghanistan,AFG,Mozambique,MOZ,30912.00,
Afghanistan,AFG,Myanmar,MMR,251520.00,
Afghanistan,AFG,Namibia,NAM,1104.00,
Afghanistan,AFG,Nauru,NRU,0.00,
Afghanistan,AFG,Nepal,NPL,2523840.00,
Afghanistan,AFG,Netherlands,NLD,28800.00,
Afghanistan,AFG,Netherlands Antilles,ANT,3840.00,
Afghanistan,AFG,New Caledonia,NCL,0.00,
Afghanistan,AFG,New Zealand,NZL,31680.00,
Afghanistan,AFG,Nicaragua,NIC,29543.25,
Afghanistan,AFG,Niger,NER,23184.00,
Afghanistan,AFG,Nigeria,NGA,171637.87,
Afghanistan,AFG,Niue,NIU,0.00,
Afghanistan,AFG,Norfolk Island,NFK,0.00,
Afghanistan,AFG,Northern Mariana Islands,MNP,960.00,
Afghanistan,AFG,Norway,NOR,6720.00,
Afghanistan,AFG,Oman,OMN,0.00,
Afghanistan,AFG,Pakistan,PAK,3942720.00,
Afghanistan,AFG,Palau,PLW,960.00,
Afghanistan,AFG,"Palestinian Territory, Occupied ",PSE,35520.00,
Afghanistan,AFG,Panama,PAN,7680.00,
Afghanistan,AFG,Papua New Guinea,PNG,2880.00,
Afghanistan,AFG,Paraguay,PRY,16320.00,
Afghanistan,AFG,Peru,PER,27840.00,
Afghanistan,AFG,Philippines,PHL,134400.00,
Afghanistan,AFG,Poland,POL,73920.00,
Afghanistan,AFG,Portugal,PRT,68160.00,
Afghanistan,AFG,Puerto Rico,PRI,62400.00,
Afghanistan,AFG,Qatar,QAT,0.00,
Afghanistan,AFG,Reunion*,REU,0.00,
Afghanistan,AFG,Romania,ROM,187200.00,
Afghanistan,AFG,Russian Federation,RUS,470400.00,
Afghanistan,AFG,Rwanda,RWA,12144.00,
Afghanistan,AFG,Saint Helena*,SHN,0.00,
Afghanistan,AFG,Saint Kitts and Nevis,KNA,960.00,
Afghanistan,AFG,Saint Lucia,LCA,1920.00,
Afghanistan,AFG,Saint Pierre and Miquelon*,SPM,0.00,
Afghanistan,AFG,Saint Vincent and the Grenadines,VCT,1920.00,
Afghanistan,AFG,Samoa,WSM,6720.00,
Afghanistan,AFG,San Marino,SMR,0.00,
Afghanistan,AFG,Sao Tome and Principe,STP,1104.00,
Afghanistan,AFG,Saudi Arabia,SAU,24960.00,
Afghanistan,AFG,Senegal,SEN,22080.00,
Afghanistan,AFG,Serbia and Montenegro,SCG,59520.00,
Afghanistan,AFG,Seychelles,SYC,1104.00,
Afghanistan,AFG,Sierra Leone,SLE,4416.00,
Afghanistan,AFG,Singapore,SGP,29760.00,
Afghanistan,AFG,Slovakia,SVK,18240.00,
Afghanistan,AFG,Slovenia,SVN,3840.00,
Afghanistan,AFG,Solomon Islands,SLB,0.00,
Afghanistan,AFG,Somalia,SOM,25392.00,
Afghanistan,AFG,South Africa,ZAF,37536.00,
Afghanistan,AFG,Spain,ESP,244800.00,
Afghanistan,AFG,Sri Lanka,LKA,770880.00,
Afghanistan,AFG,Sudan,SDN,29808.00,
Afghanistan,AFG,Suriname,SUR,6000.00,
Afghanistan,AFG,Swaziland,SWZ,0.00,
Afghanistan,AFG,Sweden,SWE,11520.00,
Afghanistan,AFG,Switzerland,CHE,76800.00,
Afghanistan,AFG,Syrian Arab Republic,SYR,15360.00,
Afghanistan,AFG,Taiwan,TWN,22080.00,
Afghanistan,AFG,Tajikistan,TJK,34560.00,
Afghanistan,AFG,"Tanzania, United Republic of",TZA,11040.00,
Afghanistan,AFG,Thailand,THA,30720.00,
Afghanistan,AFG,Timor Leste,TLS,960.00,
Afghanistan,AFG,Togo,TGO,8832.00,
Afghanistan,AFG,Tokelau,TKL,0.00,
Afghanistan,AFG,Tonga,TON,2880.00,
Afghanistan,AFG,Trinidad and Tobago,TTO,13440.00,
Afghanistan,AFG,Tunisia,TUN,24000.00,
Afghanistan,AFG,Turkey,TUR,100800.00,
Afghanistan,AFG,Turkmenistan,TKM,10560.00,
Afghanistan,AFG,Turks and Caicos,TCA,0.00,
Afghanistan,AFG,Tuvalu,TUV,0.00,
Afghanistan,AFG,Uganda,UGA,9936.00,
Afghanistan,AFG,Ukraine,UKR,228480.00,
Afghanistan,AFG,United Arab Emirates,ARE,58560.00,
Afghanistan,AFG,United Kingdom,GBR,175680.00,
Afghanistan,AFG,United States of America,USA,92160.00,
Afghanistan,AFG,Uruguay,URY,9600.00,
Afghanistan,AFG,Uzbekistan,UZB,98880.00,
Afghanistan,AFG,Vanuatu,VUT,0.00,
Afghanistan,AFG,Venezuela,VEN,13440.00,
Afghanistan,AFG,Viet Nam,VNM,75840.00,
Afghanistan,AFG,"Virgin Islands, British ",VGB,0.00,
Afghanistan,AFG,"Virgin Islands, U.S.",VIR,2880.00,
Afghanistan,AFG,Wallis and Futuna*,WLF,0.00,
Afghanistan,AFG,Yemen,YEM,20160.00,
Afghanistan,AFG,Zambia,ZMB,9936.00,
Afghanistan,AFG,Zimbabwe,ZWE,12144.00,
Albania,ALB,Afghanistan,AFG,6720.00,
Albania,ALB,Albania,ALB,0.00,
Albania,ALB,Algeria,DZA,7728.00,
Albania,ALB,American Samoa,ASM,0.00,
Albania,ALB,Andorra,AND,0.00,
Albania,ALB,Angola,AGO,2208.00,
Albania,ALB,Anguilla,AIA,0.00,
Albania,ALB,Antigua & Barbuda,ATG,0.00,
Albania,ALB,Argentina,ARG,1792.00,
Albania,ALB,Armenia,ARM,29760.00,
Albania,ALB,Aruba,ABW,0.00,
Albania,ALB,Australia,AUS,81600.00,
Albania,ALB,Austria,AUT,297600.00,
Albania,ALB,Azerbaijan,AZE,39360.00,
Albania,ALB,Bahamas,BHS,0.00,
Albania,ALB,Bahrain,BHR,0.00,
Albania,ALB,Bangladesh,BGD,9600.00,
Albania,ALB,Barbados,BRB,0.00,
Albania,ALB,Belarus,BLR,646080.00,
Albania,ALB,Belgium,BEL,76800.00,
Albania,ALB,Belize,BLZ,0.00,
Albania,ALB,Benin,BEN,1104.00,
Albania,ALB,Bermuda,BMU,0.00,
Albania,ALB,Bhutan,BTN,0.00,
Albania,ALB,Bolivia,BOL,662.17,
Albania,ALB,Bosnia and Herzegovina,BIH,1579200.00,
Albania,ALB,Botswana,BWA,0.00,
