Dest,DestCode,Origin,OriginCode,Migrants
Afghanistan,AFG,Lesotho,LSO,2.30
Afghanistan,AFG,Liberia,LBR,4.60
Afghanistan,AFG,Libyan Arab Jamahiriya,LBY,3.45
Afghanistan,AFG,Liechtenstein,LIE,0.00
Afghanistan,AFG,Lithuania,LTU,12.00
Afghanistan,AFG,Luxembourg,LUX,2.00
Afghanistan,AFG,Macau,MAC,4.00
Afghanistan,AFG,"Macedonia, the former Yugoslav Republic of",MKD,10.00
Afghanistan,AFG,Madagascar,MDG,6.90
Afghanistan,AFG,Malawi,MWI,5.75
Afghanistan,AFG,Malaysia,MYS,89.00
Afghanistan,AFG,Maldives,MDV,1.00
Afghanistan,AFG,Mali,MLI,78.20
Afghanistan,AFG,Malta,MLT,4.00
Afghanistan,AFG,Marshall Islands,MHL,1.00
Afghanistan,AFG,Martinique,MTQ,0.00
Afghanistan,AFG,Mauritania,MRT,4.60
Afghanistan,AFG,Mauritius,MUS,6.90
Afghanistan,AFG,Mayotte,MYT,0.00
Afghanistan,AFG,Mexico,MEX,423.00
Afghanistan,AFG,"Micronesia, Federated States of",FSM,1.00
Afghanistan,AFG,"Moldova, Republic of",MDA,27.00
Afghanistan,AFG,Monaco,MCO,1.00
Afghanistan,AFG,Mongolia,MNG,0.00
Afghanistan,AFG,Montserrat,MSR,1.00
Afghanistan,AFG,Morocco,MAR,124.20
Afghanistan,AFG,Mozambique,MOZ,32.20
Afghanistan,AFG,Myanmar,MMR,262.00
Afghanistan,AFG,Namibia,NAM,1.15
Afghanistan,AFG,Nauru,NRU,0.00
Afghanistan,AFG,Nepal,NPL,2629.00
Afghanistan,AFG,Netherlands,NLD,30.00
Afghanistan,AFG,Netherlands Antilles,ANT,4.00
Afghanistan,AFG,New Caledonia,NCL,0.00
Afghanistan,AFG,New Zealand,NZL,33.00
Afghanistan,AFG,Nicaragua,NIC,30.77
Afghanistan,AFG,Niger,NER,24.15
Afghanistan,AFG,Nigeria,NGA,178.79
Afghanistan,AFG,Niue,NIU,0.00
Afghanistan,AFG,Norfolk Island,NFK,0.00
Afghanistan,AFG,Northern Mariana Islands,MNP,1.00
Afghanistan,AFG,Norway,NOR,7.00
Afghanistan,AFG,Oman,OMN,0.00
Afghanistan,AFG,Pakistan,PAK,4107.00
Afghanistan,AFG,Palau,PLW,1.00
Afghanistan,AFG,"Palestinian Territory, Occupied ",PSE,37.00
Afghanistan,AFG,Panama,PAN,8.00
Afghanistan,AFG,Papua New Guinea,PNG,3.00
Afghanistan,AFG,Paraguay,PRY,17.00
Afghanistan,AFG,Peru,PER,29.00
Afghanistan,AFG,Philippines,PHL,140.00
Afghanistan,AFG,Poland,POL,77.00
Afghanistan,AFG,Portugal,PRT,71.00
Afghanistan,AFG,Puerto Rico,PRI,65.00
Afghanistan,AFG,Qatar,QAT,0.00
Afghanistan,AFG,Reunion*,REU,0.00
Afghanistan,AFG,Romania,ROM,39.00
Afghanistan,AFG,Russian Federation,RUS,490.00
Afghanistan,AFG,Rwanda,RWA,12.65
Afghanistan,AFG,Saint Helena*,SHN,0.00
Afghanistan,AFG,Saint Kitts and Nevis,KNA,1.00
Afghanistan,AFG,Saint Lucia,LCA,2.00
Afghanistan,AFG,Saint Pierre and Miquelon*,SPM,0.00
Afghanistan,AFG,Saint Vincent and the Grenadines,VCT,2.00
Afghanistan,AFG,Samoa,WSM,7.00
Afghanistan,AFG,San Marino,SMR,0.00
Afghanistan,AFG,Sao Tome and Principe,STP,1.15
Afghanistan,AFG,Saudi Arabia,SAU,26.00
Afghanistan,AFG,Senegal,SEN,23.00
Afghanistan,AFG,Serbia and Montenegro,SCG,62.00
Afghanistan,AFG,Seychelles,SYC,1.15
Afghanistan,AFG,Sierra Leone,SLE,4.60
Afghanistan,AFG,Singapore,SGP,31.00
Afghanistan,AFG,Slovakia,SVK,19.00
Afghanistan,AFG,Slovenia,SVN,4.00
Afghanistan,AFG,Solomon Islands,SLB,0.00
Afghanistan,AFG,Somalia,SOM,26.45
Afghanistan,AFG,South Africa,ZAF,39.10
Afghanistan,AFG,Spain,ESP,51.00
Afghanistan,AFG,Sri Lanka,LKA,803.00
Afghanistan,AFG,Sudan,SDN,31.05
Afghanistan,AFG,Suriname,SUR,10.00
Afghanistan,AFG,Swaziland,SWZ,0.00
Afghanistan,AFG,Sweden,SWE,12.00
Afghanistan,AFG,Switzerland,CHE,16.00
Afghanistan,AFG,Syrian Arab Republic,SYR,16.00
Afghanistan,AFG,Taiwan,TWN,23.00
Afghanistan,AFG,Tajikistan,TJK,36.00
Afghanistan,AFG,"Tanzania, United Republic of",TZA,11.50
Afghanistan,AFG,Thailand,THA,32.00
Afghanistan,AFG,Timor Leste,TLS,1.00
Afghanistan,AFG,Togo,TGO,9.20
Afghanistan,AFG,Tokelau,TKL,0.00
Afghanistan,AFG,Tonga,TON,3.00
Afghanistan,AFG,Trinidad and Tobago,TTO,14.00
Afghanistan,AFG,Tunisia,TUN,25.00
Afghanistan,AFG,Turkey,TUR,105.00
Afghanistan,AFG,Turkmenistan,TKM,11.00
Afghanistan,AFG,Turks and Caicos,TCA,0.00
Afghanistan,AFG,Tuvalu,TUV,0.00
Afghanistan,AFG,Uganda,UGA,10.35
Afghanistan,AFG,Ukraine,UKR,238.00
Afghanistan,AFG,United Arab Emirates,ARE,61.00
Afghanistan,AFG,United Kingdom,GBR,183.00
Afghanistan,AFG,United States of America,USA,96.00
Afghanistan,AFG,Uruguay,URY,10.00
Afghanistan,AFG,Uzbekistan,UZB,103.00
Afghanistan,AFG,Vanuatu,VUT,0.00
Afghanistan,AFG,Venezuela,VEN,14.00
Afghanistan,AFG,Viet Nam,VNM,79.00
Afghanistan,AFG,"Virgin Islands, British ",VGB,0.00
Afghanistan,AFG,"Virgin Islands, U.S.",VIR,3.00
Afghanistan,AFG,Wallis and Futuna*,WLF,0.00
Afghanistan,AFG,X,X,0.00
Afghanistan,AFG,Yemen,YEM,21.00
Afghanistan,AFG,Zambia,ZMB,10.35
Afghanistan,AFG,Zimbabwe,ZWE,12.65
Albania,ALB,Afghanistan,AFG,7.00
Albania,ALB,Albania,ALB,0.00
Albania,ALB,Algeria,DZA,8.05
Albania,ALB,American Samoa,ASM,0.00
Albania,ALB,Andorra,AND,0.00
Albania,ALB,Angola,AGO,2.30
Albania,ALB,Anguilla,AIA,0.00
Albania,ALB,Antigua & Barbuda,ATG,0.00
Albania,ALB,Argentina,ARG,4.00
Albania,ALB,Armenia,ARM,31.00
Albania,ALB,Aruba,ABW,0.00
Albania,ALB,Australia,AUS,17.00
Albania,ALB,Austria,AUT,62.00
Albania,ALB,Azerbaijan,AZE,41.00
Albania,ALB,Bahamas,BHS,0.00
Albania,ALB,Bahrain,BHR,0.00
Albania,ALB,Bangladesh,BGD,10.00
Albania,ALB,Barbados,BRB,0.00
Albania,ALB,Belarus,BLR,673.00
Albania,ALB,Belgium,BEL,16.00
Albania,ALB,Belize,BLZ,0.00
Albania,ALB,Benin,BEN,1.15
Albania,ALB,Bermuda,BMU,0.00
Albania,ALB,Bhutan,BTN,0.00
Albania,ALB,Bolivia,BOL,1.48
Albania,ALB,Bosnia and Herzegovina,BIH,1645.00
Albania,ALB,Botswana,BWA,0.00
Albania,ALB,Brazil,BRA,4.00
Albania,ALB,Brunei Darussalam,BRN,0.00
Albania,ALB,Bulgaria,BGR,84.00
Albania,ALB,Burkina Faso,BFA,2.30
Albania,ALB,Burundi,BDI,1.15
Albania,ALB,Cambodia,KHM,1.00
Albania,ALB,Cameroon,CMR,0.00
Albania,ALB,Canada,CAN,17.00
Albania,ALB,Cape Verde,CPV,0.00
Albania,ALB,Cayman Islands,CYM,0.00
Albania,ALB,Central African Republic,CAF,0.00
Albania,ALB,Chad,TCD,0.00
Albania,ALB,Chile,CHL,2.00
Albania,ALB,China,CHN,35.00
Albania,ALB,Colombia,COL,4.00
Albania,ALB,Comoros,COM,0.00
Albania,ALB,Congo,COG,2.30
Albania,ALB,"Congo, the Democratic Republic of the",COD,1.15
Albania,ALB,Cook Islands,COK,0.00
Albania,ALB,Costa Rica,CRI,0.00
Albania,ALB,Cote d'Ivoire,CIV,0.00
Albania,ALB,Croatia,HRV,56.00
Albania,ALB,Cuba,CUB,6.00
Albania,ALB,Cyprus,CYP,1.00
Albania,ALB,Czech Republic,CZE,286.00
Albania,ALB,Denmark,DNK,8.00
Albania,ALB,Djibouti,DJI,0.00
Albania,ALB,Dominica,DMA,0.00
Albania,ALB,Dominican Republic,DOM,3.53
Albania,ALB,Ecuador,ECU,2.91
Albania,ALB,Egypt,EGY,11.50
Albania,ALB,El Salvador,SLV,2.28
Albania,ALB,Equatorial Guinea,GNQ,0.00
Albania,ALB,Eritrea,ERI,1.15
Albania,ALB,Estonia,EST,28.00
Albania,ALB,Ethiopia,ETH,1.15
Albania,ALB,Falkland Islands (Malvinas)*,FLK,0.00
Albania,ALB,Faroe Islands,FRO,0.00
Albania,ALB,Fiji,FJI,0.00
Albania,ALB,Finland,FIN,13.00
Albania,ALB,France,FRA,147.00
Albania,ALB,French Guiana,GUF,0.00
Albania,ALB,French Polynesia,PYF,0.00
Albania,ALB,Gabon,GAB,0.00
Albania,ALB,Gambia,GMB,0.00
Albania,ALB,Georgia,GEO,46.00
Albania,ALB,Germany,DEU,469.00
Albania,ALB,Ghana,GHA,2.30
Albania,ALB,Gibraltar,GIB,0.00
Albania,ALB,Greece,GRC,55.00
Albania,ALB,Greenland,GRL,0.00
Albania,ALB,Grenada,GRD,0.00
Albania,ALB,Guadeloupe,GLP,0.00
Albania,ALB,Guam,GUM,0.00
Albania,ALB,Guatemala,GTM,2.10
Albania,ALB,Guinea,GIN,1.15
Albania,ALB,Guinea-Bissau,GNB,0.00
Albania,ALB,Guyana,GUY,1.00
Albania,ALB,Haiti,HTI,1.00
Albania,ALB,Honduras,HND,2.44
Albania,ALB,Hong Kong,HKG,1.00
Albania,ALB,Hungary,HUN,99.00
Albania,ALB,Iceland,ISL,0.00
Albania,ALB,India,IND,21.00
Albania,ALB,Indonesia,IDN,3.00
Albania,ALB,"Iran, Islamic Republic of",IRN,5.00
Albania,ALB,Iraq,IRQ,8.00
Albania,ALB,Ireland,IRL,4.00
Albania,ALB,Israel,ISR,10.00
Albania,ALB,Italy,ITA,41.00
Albania,ALB,Jamaica,JAM,2.00
Albania,ALB,Japan,JPN,4.00
Albania,ALB,Jordan,JOR,3.00
Albania,ALB,Kazakhstan,KAZ,115.00
Albania,ALB,Kenya,KEN,1.15
Albania,ALB,Kiribati,KIR,0.00
