TargetCode,HostCode,Amount
URY, CAN ,4853031.789
PSE, FRA ,4845695.441
ECU, FRA ,4829428.296
MUS, USA ,4828343.719
MLT, ITA ,4823862.767
ECU, NLD ,4823712.48
ARM, NLD ,4818168.792
ARE, JAM ,4811588.71
MSR, PRT ,4811297.189
LTU, ITA ,4807861.206
ZMB, PRT ,4804190.398
BOL, CHE ,4803992.059
BLZ, GBR ,4801555.833
UGA, TKM ,4783420.085
JPN, GRC ,4776185.474
ARG, NZL ,4772606.399
SOM, ZWE ,4767099.057
BEN, DEU ,4760134.483
KEN, NZL ,4753704.988
ALB, BEL ,4747921.638
MEX, SWE ,4731940.362
AUS, FIN ,4729625.854
STP, TUR ,4727001.554
CZE, NOR ,4721955.875
OMN, PRT ,4720375.753
CZE, NZL ,4693850.518
UGA, ARM ,4678516.193
MRT, NGA ,4669493.486
GHA, CHE ,4669186.159
MWI, ZAF ,4668324.981
BHR, CAN ,4664388.093
TUN, KGZ ,4654927.59
ALB, ESP ,4654791.261
MNP, ISL ,4644573
EST, AUS ,4641728.343
NCL, FRA ,4611735.62
VGB, SWE ,4605700.989
CIV, BEL ,4579913.088
BGD, BEL ,4566472.403
DMA, FRA ,4561498.848
BEL, DNK ,4560387.097
CUB, DOM ,4559669.472
MLI, SEN ,4550504.211
DOM, ANT ,4547750.093
BGR, CZE ,4546279.875
MWI, ZMB ,4544395.205
PHL, JPN ,4534919.132
MEX, BEL ,4508229.439
NIC, TGO ,4501829.986
UGA, TUR ,4494684.754
UGA, HUN ,4493488.73
LVA, FRA ,4493211
GEO, CAN ,4488373.448
NLD, GBR ,4482230.952
AUS, HRV ,4473151.683
STP, IND ,4471419.639
RUS, ITA ,4459230.461
PSE, SDN ,4452748.675
BOL, GBR ,4451077.305
KEN, SWE ,4443829.535
SWE, FIN ,4434024.238
CMR, NLD ,4414623.991
ZAF, PRY ,4404525.811
CUB, CHE ,4404287.853
EGY, CYP ,4396065.699
MNP, ITA ,4389318.636
ECU, SWE ,4382745.968
TUR, DEU ,4377689.981
CUB, MEX ,4373019.122
PHL, SVK ,4372575.28
GBR, NIC ,4366824.467
IRL, CHE ,4360923.717
HRV, NZL ,4347324.641
DOM, HTI ,4331308.352
JPN, FIN ,4329397.677
LBN, FIN ,4326502.539
AUT, CHL ,4325688.45
JPN, ARG ,4316716.088
EGY, DNK ,4314684.99
ARG, PRT ,4307307.294
SOM, SWE ,4300283.152
GHA, NOR ,4291909.699
MKD, GBR ,4289189.604
ESP, MYS ,4275215.111
DOM, BEL ,4265177.07
CUB, VEN ,4262836.017
ARG, MEX ,4259659.371
ALB, CHE ,4253456.077
KEN, ESP ,4234866.344
IND, FJI ,4233749.393
GIN, MLI ,4229465.106
SWE, HRV ,4226820.427
HKG, IRL ,4224506.977
SLE, IND ,4224323.777
HTI, CHE ,4223289.722
GRC, ROM ,4222755.526
CUB, GBR ,4217424.953
SOM, CYP ,4209034.923
PHL, NZL ,4208714.29
ARE, ISL ,4194438.172
NER, CHE ,4194066.065
ETH, GRC ,4190584.88
MLT, FRA ,4189268.294
KEN, ITA ,4184358.261
CHE, CHE ,4177097.491
JPN, MEX ,4166685.322
CHL, AUT ,4154637.276
LBN, EGY ,4146190.242
NOR, USA ,4143030.417
YEM, NZL ,4139409.115
ITA, FIN ,4132862.114
LBY, ITA ,4130211.617
IRL, SWE ,4120086.628
ZMB, MWI ,4119600.262
LBR, CAN ,4107008.384
GRD, TTO ,4106708.842
MMR, GBR ,4105605.613
GHA, LBR ,4104099.674
ZAF, GNQ ,4101636.429
SVK, GBR ,4098929.832
COD, ESP ,4095056.237
NAM, NLD ,4075328.604
AUS, HUN ,4063113.393
ZAF, POL ,4057817.53
MRT, CIV ,4057099.903
MDG, BEL ,4052366.239
KWT, EGY ,4045842.403
GBR, HND ,4045684.598
USA, CHE ,4042291.591
ROM, MNG ,4038494.815
BOL, AUS ,4036285.515
NZL, AUS ,4036285.515
UGA, NLD ,4027901.606
COL, MEX ,4012935.206
MSR, FIN ,4012133.126
JOR, SWE ,4007082.028
AFG, BEL ,4001963.674
GBR, HUN ,4001102.323
AUT, SVN ,3996619.972
NER, GAB ,3991242.074
ESP, IRL ,3988161.707
STP, FRA ,3981622.972
KAZ, LTU ,3976545.215
NCL, ESP ,3974690.245
MLI, GIN ,3971759.135
BOL, FRA ,3958657.591
SWE, LUX ,3953225.904
LUX, NLD ,3939526.361
PRI, CAN ,3930993.739
MOZ, DEU ,3915414.83
FRA, URY ,3908224.851
ARE, MCO ,3901147.365
TLS, NER ,3900384.404
ARE, BRA ,3896396.929
BLR, GBR ,3895318.496
TJK, DEU ,3894993.037
FRA, CYP ,3892262.079
BGD, NLD ,3882346.469
ARE, BRN ,3878248.393
COG, GAB ,3877356.764
COD, BDI ,3869049.821
FRA, PER ,3868495.037
GBR, PER ,3865041.024
DNK, POL ,3853135.687
ARE, CYM ,3841997.887
EST, ESP ,3839211.509
KAZ, POL ,3838807.958
AUT, IRL ,3838650.017
DNK, FIN ,3837122.887
ETH, DNK ,3831899.424
JOR, IRQ ,3831539.982
ARG, DNK ,3828523.301
ARG, VEN ,3822804.202
MNP, TUR ,3822471.792
IDN, NOR ,3820935.834
GTM, SLV ,3820591.374
ROM, ISL ,3815915.703
GBR, BHS ,3813032.151
TZA, IRL ,3812779.51
IDN, AUT ,3807182.474
ARE, MEX ,3805172.501
ROM, BRA ,3801739.79
DOM, PAN ,3798754.596
SYC, ITA ,3797706.519
HRV, FIN ,3793794.397
GEO, KAZ ,3793691.134
BGR, NOR ,3789781.921
SLB, FRA ,3786417.231
VCT, FRA ,3786417.231
KWT, DNK ,3784633.704
PNG, DEU ,3781744.907
BHR, JOR ,3773363.897
IRL, DNK ,3769562.323
MDG, USA ,3769223.161
LAO, NZL ,3767681.356
VCT, IRQ ,3757856.52
USA, GBR ,3750120.249
COD, SWE ,3744422.688
SYR, DEU ,3739044.793
OMN, ISR ,3737479.215
ARE, BRB ,3730808.996
SLV, BLZ ,3699318.424
SLE, CHE ,3699149.301
EST, BEL ,3698894.841
GEO, LVA ,3690929.086
UGA, FIN ,3685647.464
LBY, IRL ,3683109.342
CZE, BRA ,3680037.754
PHL, TUR ,3672971.629
GUY, SUR ,3670386.449
EGY, IRL ,3668420.375
TLS, CAN ,3666971.771
GHA, DNK ,3663093.282
LBN, ISR ,3662023.234
BEL, CZE ,3660880.232
LTU, BLR ,3654522.331
HKG, FRA ,3652954.492
TJK, NLD ,3650263.38
AZE, BLR ,3640217.797
BEL, NZL ,3638521.71
MNP, IRL ,3635080.208
BDI, AUS ,3632656.964
COD, AUS ,3632656.964
LBY, AUS ,3632656.964
GHA, SWE ,3631418.088
DJI, ETH ,3616983.287
LBY, ESP ,3611874.275
AUT, ECU ,3598218.418
BEL, GRC ,3592117.209
KGZ, CAN ,3578964.449
KEN, NOR ,3573537.111
TLS, GAB ,3572494.552
BEN, USA ,3566744.231
ALB, TUR ,3563266.473
FJI, NCL ,3559432.595
DEU, VEN ,3558136.792
MNP, AUT ,3558124.018
CYP, DEU ,3549679.069
ARE, HUN ,3547588.528
PRI, GBR ,3544839.968
CHL, JPN ,3544422.876
MOZ, NZL ,3540864.418
TUN, ARM ,3531489.988
ISL, ESP ,3526620.669
SLV, MEX ,3525488.274
UGA, JOR ,3519623.592
AUT, MEX ,3515104.902
BEL, DOM ,3509660.063
KEN, DNK ,3507791.631
TJK, MWI ,3507680.127
PNG, ITA ,3505533.239
NCL, SWE ,3495507.15
ROM, SVK ,3492138.273
HKG, BEL ,3489942.159
LTU, FRA ,3484996.603
KGZ, TJK ,3466743.22
LAO, CHE ,3465831.398
LKA, VGB ,3465681.6
AUT, VEN ,3465655.745
CRI, DEU ,3461184.629
CPV, CHE ,3458761.158
OMN, MMR ,3457630.837
BDI, FRA ,3453419.203
KIR, NZL ,3452657.831
MKD, GRC ,3442649.577
DZA, MDG ,3442229.503
CPV, AGO ,3436960.537
BGR, IRL ,3436313.53
ETH, BEL ,3427374.431
ARG, AUT ,3427342.47
BGR, DNK ,3421899.871
EST, LVA ,3408535.854
ITA, POL ,3405905.861
SOM, DNK ,3403131.823
BEL, JPN ,3389050.915
PHL, HUN ,3385619.315
NPL, BRA ,3380612.11
MLI, GMB ,3377842.379
PRY, AUT ,3373550.099
FRA, BOL ,3371816.943
SYR, LVA ,3363947.449
NZL, SLV ,3363319.177
JOR, DNK ,3362618.349
EGY, JPN ,3359918.672
NIC, USA ,3348689.999
BIH, POL ,3347571.536
MLI, DEU ,3334321.97
MLI, MRT ,3331934.152
BWA, AUS ,3329935.55
VUT, CHL ,3329628.782
AGO, IRL ,3323090.679
KOR, GUM ,3322992.925
BHS, CAN ,3319831.777
AUS, IND ,3317177.325
GEO, ITA ,3316030.196
MUS, DEU ,3315756.703
ARG, ECU ,3312474.435
NIC, DEU ,3312043.65
PRY, NOR ,3308423.418
LBY, TUR ,3304061.155
TUV, DNK ,3298472.015
MYS, THA ,3291528.384
SLV, FRA ,3288833.971
BLR, SWE ,3283241.753
EGY, BRA ,3276296.079
CUB, NLD ,3272707.918
ZAF, NIC ,3269201.244
YEM, NAM ,3269027.459
VCT, IRL ,3266479.254
CRI, NIC ,3263185.519
USA, DEU ,3261917.429
KEN, IRL ,3255156.969
QAT, VEN ,3241603.723
SYC, ESP ,3239502.703
GMB, NOR ,3232676.648
ITA, NZL ,3232141.364
MSR, AUS ,3229028.412
GRC, ARM ,3225398.474
PER, THA ,3225187.502
MDG, ITA ,3224282.325
BRN, USA ,3224087.58
RUS, DEU ,3222930.368
YEM, IRL ,3221190.113
MDA, LVA ,3220273.699
KOR, THA ,3220084.357
TLS, BEL ,3215683.657
CHL, PER ,3213614.091
PSE, CAN ,3212267.272
HTI, NLD ,3196187.769
CHE, NOR ,3196024.985
LBN, IRL ,3194417.061
NZL, PAN ,3191270.808
ARE, AND ,3186542.055
LBY, FRA ,3184297.948
ERI, CHE ,3173123.483
CHE, BRA ,3172945.938
DNK, LVA ,3170731.027
EST, DNK ,3165817.074
HRV, IRL ,3164578.688
NPL, FIN ,3161414.905
DEU, LIE ,3156784.855
HUN, FIN ,3147376.651
COL, CHL ,3144649.406
SYC, LBR ,3142487.119
COL, DOM ,3138184.932
AUT, LUX ,3134451.034
POL, AUT ,3128739.923
IRL, GRC ,3126472.385
GRC, DNK ,3122523.871
NIC, ITA ,3119427.615
ETH, FIN ,3116492.491
CIV, CHE ,3110905.376
BGD, CHE ,3107134.581
SAU, MLI ,3092700.534
TJK, SWE ,3090828.515
LCA, TTO ,3089890.239
LIE, GRC ,3086559.972
TUN, IRL ,3085322.692
SWE, BOL ,3082114.294
CAN, ECU ,3078299.633
SGP, BEL ,3071196.304
MSR, SEN ,3066591.285
DZA, NOR ,3064079
ITA, TUR ,3058837.866
DZA, JOR ,3053068.837
GTM, DEU ,3049654.541
MWI, MOZ ,3042700.062
BRA, SUR ,3038821.09
MMR, USA ,3037183.952
ARM, LVA ,3036965.812
CZE, DNK ,3036681.29
HND, BLZ ,3035950.157
CAN, CHL ,3034560.909
AUS, WSM ,3032340.465
PHL, LUX ,3031978.597
ZMB, NLD ,3029693.379
CUB, AUS ,3027214.137
QAT, CHL ,3026337.166
AGO, PHL ,3015296.527
CRI, PAN ,3014308.14
URY, JPN ,3010331.758
BEL, MCO ,3008518.422
LVA, EST ,3003836.004
DEU, TZA ,3002443.091
CUB, HTI ,3002413.867
DEU, KGZ ,2998948.309
SMR, AGO ,2998270.868
DZA, DNK ,2991244.837
BDI, USA ,2990458.045
IND, SDN ,2989350.643
VCT, GRC ,2988996.295
NZL, GTM ,2987476.855
MYS, EGY ,2967103.138
SWZ, LUX ,2965672.902
KWT, SWE ,2965607.202
STP, NLD ,2964104.679
LUX, CAN ,2963067.909
STP, DEU ,2963016.628
ARE, MUS ,2958450.794
KAZ, ITA ,2949038.712
MSR, AUT ,2947602.348
GMB, FRA ,2945310.144
KAZ, GBR ,2940681.744
IND, PAN ,2937429.369
HND, GTM ,2927236.869
ISR, TUR ,2925470.814
PAN, CAN ,2923046.385
ETH, NZL ,2920268.074
VCT, BHR ,2919389.397
PER, ASM ,2914334.281
GEO, FRA ,2913732.744
SLE, BRN ,2911957.107
ARM, BEL ,2906547.924
TUR, USA ,2906351.413
UKR, DEU ,2903607.774
BLR, IRL ,2892843.845
MAR, CAN ,2888991.211
ZAF, HUN ,2887679.678
ASM, WSM ,2883208.967
SUR, GBR ,2880599.711
IDN, DNK ,2876456.66
SOM, NOR ,2869825.188
ITA, LIE ,2869296.933
QAT, LUX ,2868223.623
CZE, CYP ,2864435.296
SAU, CHE ,2847892.466
NER, SWE ,2846494.245
FIN, JPN ,2845249.049
KWT, NLD ,2840495.208
SVK, ESP ,2839277.66
BOL, BEL ,2838224.447
ARE, ECU ,2837361.66
STP, SWE ,2834277.532
LTU, NOR ,2833173.525
ARE, POL ,2830749.883
AUS, SLB ,2828128.471
DEU, SVK ,2827429.483
BLR, AUS ,2825399.861
RUS, NLD ,2822836.712
EST, ITA ,2822550.947
LUX, AUT ,2821354.948
EGY, NZL ,2816310.311
SGP, HUN ,2815487.686
MNP, GRC ,2787679.53
FRA, OMN ,2786413.311
POL, NOR ,2785526.363
AUS, POL ,2783673.059
POL, DNK ,2781299.613
GIN, BEL ,2778861.426
UGA, CYP ,2778502.237
AUT, JPN ,2777273.815
MDG, CHE ,2777190.072
ARG, NOR ,2775752.587
TLS, NLD ,2772383.866
MEX, AUT ,2770307.086
MKD, SVK ,2767605.691
GBR, TTO ,2764885.256
MYS, ESP ,2761869.354
HUN, BRA ,2760511.26
CHE, CYP ,2759967.656
BFA, BEN ,2757524.05
NZL, DEU ,2755085.637
NAM, ESP ,2749861.227
ARE, TZA ,2749791.324
DEU, BLR ,2749331.423
AGO, COD ,2748875.435
ITA, HUN ,2748848.924
TJK, DNK ,2748163.992
CAF, COD ,2747314.018
MLI, CAN ,2746129.008
CYP, FRA ,2744363.058
ITA, JOR ,2742032.333
TUN, ROM ,2733658.546
AND, FRA ,2733019.69
KGZ, LVA ,2729801.243
AFG, JPN ,2726777.928
MLI, ITA ,2726222.454
MMR, AUS ,2724492.723
SWE, VEN ,2721993.714
GBR, IND ,2718900.7
LTU, FIN ,2716650.948
BLR, FRA ,2715656.331
ROM, EGY ,2713952.908
CHL, DOM ,2708071.036
NCL, WSM ,2707091.769
LBR, ESP ,2705869.313
DNK, JPN ,2704443.208
MDG, COM ,2704209.797
VGB, ESP ,2697826.007
GBR, CYP ,2695939.102
KEN, FRA ,2681208.259
SOM, SWZ ,2681064.711
BGD, FIN ,2679880.991
NCL, MYS ,2672009.445
VGB, SDN ,2667099.781
ETH, ESP ,2665804.333
MOZ, FRA ,2665419.56
OMN, FIN ,2658951.819
GBR, MNP ,2657554.897
BEL, SVK ,2652792.355
NAM, FRA ,2652501.533
BRA, LUX ,2650869.235
STP, IRL ,2643753.573
GRC, BRA ,2642672.781
DEU, EGY ,2634130.764
DZA, MRT ,2633956.257
HND, DEU ,2633792.559
HUN, NZL ,2633596.667
MDG, GBR ,2633595.796
SWZ, PRT ,2633065.891
AUS, KHM ,2632759.979
CAN, BOL ,2631465.728
UGA, NOR ,2627924.214
SWE, COL ,2623540.207
MKD, NOR ,2620593.881
PRK, BRA ,2619491.441
OMN, MDG ,2618429.603
SLE, ESP ,2617771.823
PRY, NZL ,2614695.255
CZE, HUN ,2614645.862
GBR, UGA ,2613080.381
GRC, LUX ,2607019.37
FSM, MNP ,2603053.103
ABW, NLD ,2600498.593
BGD, NOR ,2599824.606
SCG, CAN ,2596216.014
ERI, NOR ,2594937.718
MCO, USA ,2584618.623
ARE, CHL ,2570741.843
COD, CHE ,2570739.078
ISR, NOR ,2569281.554
BEL, GAB ,2566125.788
FRA, ISL ,2566109.532
TUV, NLD ,2550391.345
SAU, GNB ,2549748.608
BIH, TUR ,2546880.473
PNG, FRA ,2541980.636
AUS, BRN ,2541888.103
PER, PLW ,2541366.77
VCT, SWE ,2541076.408
UZB, FRA ,2540545.299
SLE, IRL ,2539022.436
CUB, BEL ,2532448.885
SLB, IRL ,2530530.722
BLR, MDA ,2526227.111
MYS, JOR ,2521032.712
LBN, LBR ,2520132.437
MAR, FRA ,2517579.918
ARE, ZMB ,2513871.417
MDA, TUR ,2509236.547
JPN, GUM ,2509115.274
FRA, COM ,2507063.769
ITA, EGY ,2506415.333
IND, RWA ,2501596.01
DZA, BHR ,2495738.471
MLT, DEU ,2491458.844
ZAF, NZL ,2488685.845
DNK, TZA ,2482450.501
SWE, SVK ,2480572.35
MDG, DEU ,2480319.684
MSR, BHR ,2479444.204
TUN, LIE ,2475745.505
AUS, ECU ,2472784.463
SWZ, NZL ,2463483.963
TTO, DNK ,2461193.551
ZAF, SLV ,2460030.503
PYF, NZL ,2459212.856
TJK, ITA ,2457532.26
SLV, HND ,2452471.783
ARE, PNG ,2451144.194
GMB, ITA ,2450978.841
URY, ITA ,2446573.851
PRY, MEX ,2446570.168
CAF, NLD ,2444440.37
MDA, BLR ,2441497.853
GTM, SWE ,2437234.343
JOR, GRC ,2437052.351
NOR, CAN ,2434869.256
NAM, NZL ,2431981.611
VUT, BEL ,2430523.698
CUB, CHL ,2427758.377
CPV, SEN ,2421849.187
BHR, AUS ,2421771.309
DZA, AUS ,2421771.309
KIR, AUS ,2421771.309
MAR, AUS ,2421771.309
MWI, AUS ,2421771.309
NOR, AUS ,2421771.309
UGA, NZL ,2419380.67
JOR, FRA ,2417106.375
HND, ITA ,2416027.271
DMA, VGB ,2413696.563
SAU, GBR ,2413295.007
ITA, ROM ,2413003.157
KOR, MEX ,2404846.158
PNG, BOL ,2404210.095
PRY, DNK ,2402674.088
IRN, IRL ,2400324.443
VEN, POL ,2392730.74
GTM, BEL ,2391321.703
BEL, BOL ,2381999.558
VCT, ETH ,2380937.587
HND, MEX ,2380554.783
FRA, HRV ,2379336.002
KEN, IND ,2377874.562
JAM, NLD ,2375067.707
ATG, VGB ,2371281.789
GEO, NLD ,2370801.557
CIV, NLD ,2363715.817
KHM, BEL ,2355450.309
YEM, NLD ,2353625.248
NCL, DNK ,2337064.258
SVK, SWE ,2336446.457
ARE, UGA ,2335426.596
LBN, CYP ,2335357.247
NAM, ITA ,2334655.647
LVA, POL ,2332349.596
IND, CYP ,2331987.323
GRC, NOR ,2331045.746
DOM, JPN ,2330579.425
PHL, LTU ,2327379.001
AZE, IRN ,2326969.792
LAO, GBR ,2323171.957
SLV, GBR ,2317052.49
AUT, PRT ,2315629.248
CAN, THA ,2314276.159
TUR, LVA ,2308688.529
MYS, BEL ,2308437.484
TTO, JOR ,2308218.262
SLE, NOR ,2303556.999
MEX, NOR ,2301724.416
EST, FRA ,2300976.279
CAN, GRC ,2294224.654
DNK, PRT ,2291939.946
GBR, BLZ ,2289617.146
QAT, GEO ,2283761.761
SDN, CAN ,2275212.858
VUT, ABW ,2274578.072
TTO, NOR ,2272403.086
GUY, AUS ,2270410.602
UGA, SVN ,2269385.08
SAU, NLD ,2265332.768
HUN, JPN ,2262604.192
MAR, CHE ,2262476.637
HTI, ESP ,2260196.467
GRC, POL ,2259687.542
SLV, DEU ,2256917.637
FRA, PAN ,2256840.001
GBR, ZMB ,2254983.793
AUT, FIN ,2249456.199
DEU, ROM ,2246490.716
MEX, GRC ,2245442.815
SAU, PRT ,2242192.412
ARM, SWE ,2238712.749
CAN, PHL ,2237299.446
JPN, BOL ,2232319.857
NGA, GUM ,2232028.787
BGR, PRT ,2231532.226
BGR, JPN ,2228616.576
ARM, AUS ,2219957.034
MRT, DEU ,2212979.838
SWE, PHL ,2209035.69
SLE, SWE ,2208170.965
DMA, GRC ,2204440.893
BRN, NLD ,2202266.711
DEU, CYP ,2202245.254
VEN, ISL ,2202080.04
KAZ, IND ,2201861.071
GUY, VEN ,2201048.928
VGB, FRA ,2198935.253
JOR, NLD ,2197221.426
AFG, FIN ,2193219.794
SVN, NZL ,2192563.732
GHA, IRL ,2190862.169
TUR, TUR ,2187649.866
FRA, PHL ,2186722.198
KOR, PHL ,2183747.066
ZMB, DEU ,2183275.41
DNK, BRA ,2182909.534
SLB, BEL ,2180750.986
HND, CRI ,2177862.833
SWE, POL ,2174744.578
BGR, FIN ,2167264.53
ITA, COL ,2166225.859
KOR, LUX ,2165483.719
BFA, NGA ,2159924.938
TJK, NOR ,2155117.765
JPN, TUR ,2154308.103
AUS, BRA ,2153932.859
NZL, HND ,2151516.733
HRV, DNK ,2150356.645
DEU, IND ,2144318.199
SCG, ITA ,2142968.131
LCA, BRB ,2142415.592
AFG, GRC ,2141814.731
POL, JPN ,2141219.847
CAN, EGY ,2134672.204
CHE, ARG ,2134290.513
GBR, CZE ,2130583.807
TUV, NOR ,2129461.602
KOR, MNP ,2129124.454
ECU, NOR ,2125796.435
COG, AUS ,2119049.896
SCG, USA ,2118241.115
LBR, FRA ,2115685.746
BRA, VEN ,2114733.283
ASM, NZL ,2110163.29
COL, FIN ,2109586.166
KEN, BEL ,2106827.224
BTN, DEU ,2105301.289
CHL, PRY ,2104084.314
NER, DNK ,2099948.407
MYS, DNK ,2096572.284
AUS, LKA ,2093133.11
GBR, SVK ,2086581.322
SWE, GRC ,2084314.924
TON, DEU ,2079309.915
CZE, ECU ,2076504.902
URY, ARM ,2076193.682
IRN, KAZ ,2075793.262
MEX, IRL ,2073865.222
AUS, MUS ,2069999.627
KHM, DEU ,2068906.434
MEX, DNK ,2063936.43
ABW, CAN ,2063565.151
ARE, LCA ,2063398.608
DEU, BOL ,2061717.185
SWZ, CHL ,2055935.575
NLD, CAN ,2055628.362
MNP, THA ,2054015.775
MNP, JPN ,2053823.119
THA, PHL ,2052841.247
KWT, ESP ,2049387.115
LBR, SWE ,2049353.69
SLE, THA ,2048912.63
TCD, CAN ,2047691.573
COL, NZL ,2047652.911
ERI, NLD ,2045862.889
PSE, IRQ ,2044716.048
FRA, LKA ,2040541.826
LBN, ARM ,2038068.404
QAT, URY ,2037266.146
DOM, GBR ,2036669.668
GTM, ITA ,2033744.475
STP, ESP ,2033376.278
SWE, PER ,2030959.894
LBY, CHE ,2030572.781
GRC, FIN ,2024510.579
BMU, AUS ,2018142.758
BRB, AUS ,2018142.758
CRI, AUS ,2018142.758
GTM, AUS ,2018142.758
PNG, AUS ,2018142.758
GRC, NZL ,2016150.558
MEX, NZL ,2016150.558
ISR, FIN ,2011532.947
GTM, CHE ,2009833.412
VCT, NOR ,2008511.115
QAT, ECU ,1997248.99
LAO, ESP ,1993349.186
KIR, USA ,1992600.343
AZE, GBR ,1989862.871
ARM, GBR ,1989382.882
PRI, JOR ,1988996.588
BGD, DNK ,1985160.23
BGR, POL ,1980296.827
JPN, PRY ,1978884.091
TJK, BDI ,1978275.945
RUS, CHE ,1974010.866
SYC, FRA ,1969281.441
BOL, NLD ,1968922.3
BRA, FIN ,1967072.589
ROM, ECU ,1965546.625
LVA, NOR ,1960863.953
DEU, PHL ,1957637.015
AUS, MEX ,1957599.071
CUB, NOR ,1954755.343
GTM, GBR ,1943208.727
DZA, FIN ,1937993.033
DOM, ABW ,1933837.357
KNA, BRB ,1932594.423
IRL, LUX ,1931906.839
SUR, USA ,1931337.488
YEM, MOZ ,1931039.003
ROM, ARG ,1929035.34
EST, NOR ,1927877.457
MLT, IRL ,1924970.082
PNG, GBR ,1919843.492
MOZ, NLD ,1918469.454
PLW, GBR ,1915949.286
PER, AND ,1912262.79
ITA, HRV ,1911306.614
CPV, DEU ,1901083.351
ROM, CUB ,1899830.102
USA, VEN ,1898054.321
HTI, DEU ,1897370.297
NCL, NOR ,1896723.544
IRL, PRT ,1893959.676
ISR, GRC ,1893099.403
IRQ, BHR ,1887419.192
KWT, FRA ,1886031.934
KGZ, TUR ,1884347.377
PRK, GRC ,1884152.809
GUM, MNP ,1883866.378
VUT, SWE ,1881373.879
VCT, ESP ,1881273.328
GBR, LVA ,1877667.28
NER, NOR ,1876565.129
COL, BRA ,1874662.102
ARM, DNK ,1873748.177
URY, GRC ,1871314.446
GBR, ATG ,1867929.092
SWE, CZE ,1866806.476
BDI, DEU ,1863952.816
ARM, POL ,1863628.177
GEO, GBR ,1859205.143
SVN, NCL ,1858133.481
UKR, JOR ,1858033.85
MRT, ITA ,1857894.389
LVA, AUT ,1857240.766
GNB, DEU ,1856526.71
SLE, DNK ,1853491.44
DZA, AUT ,1850896.67
TLS, GBR ,1845853.58
VUT, MEX ,1844429.84
LBN, IRQ ,1842086.53
DEU, MUS ,1839185.509
CUB, ECU ,1837469.07
MSR, EGY ,1835909.32
JAM, CHE ,1832606.076
KOR, CHL ,1832249.784
MDA, FRA ,1831489.154
PER, LUX ,1828932.086
IRL, NOR ,1828917.968
ITA, PER ,1826482.3
AFG, ESP ,1825235.399
USA, NLD ,1824711.249
DEU, COL ,1821555.256
MRT, MLI ,1819863.708
ROM, MEX ,1818995.341
CMR, CAF ,1818082.167
PRY, COL ,1816035.391
IND, EGY ,1815383.626
MCO, ESP ,1812541.208
SYC, IRL ,1811565.617
FRA, PRY ,1810449.26
DNK, CHL ,1809223.306
PYF, AUS ,1806558.659
FIN, TUR ,1798304.118
IRL, AUT ,1798202.103
JPN, DOM ,1798159.168
KIR, DEU ,1796622.781
NPL, HUN ,1796469.954
MMR, MOZ ,1796391.726
ALB, NLD ,1791076.019
KAZ, CZE ,1790194.678
MSR, GRC ,1787189.179
LAO, SWE ,1777531.814
ISR, NZL ,1776732.679
NPL, JOR ,1776182.138
MYS, NOR ,1775773.057
QAT, SVN ,1772414.075
MAR, ITA ,1767476.801
ARG, DOM ,1765229.024
IND, LUX ,1763128.707
EGY, FIN ,1760632.063
VEN, HUN ,1760373.958
SLE, BEL ,1759049.524
CRI, CHE ,1757190.188
GRC, IRL ,1753736.184
GRC, CZE ,1751403.894
PRY, PAN ,1749157.122
GTM, NLD ,1748191.1
SWE, EGY ,1744684.013
COM, MDG ,1739808.811
PAN, SLB ,1738894.992
KOR, PRY ,1737490.857
CRI, NLD ,1736418.77
KOR, GRC ,1736189.984
GEO, BLR ,1734281.695
COD, LUX ,1732989.754
CZE, FIN ,1730350.922
SAU, GIN ,1729561.648
SOM, JPN ,1724628.775
USA, CHL ,1720077.939
ISR, BRA ,1719282.73
VUT, DNK ,1717321.152
GMB, DNK ,1715070.403
QAT, MEX ,1714685.318
EGY, NOR ,1711632.647
SWZ, THA ,1709553.502
ZAF, LIE ,1707250.283
CRI, ITA ,1704981.27
LUX, ITA ,1703889.034
IRN, IND ,1703438.254
DNK, HUN ,1702990.579
DNK, MEX ,1700396.274
NPL, OMN ,1697179.017
TUN, IRN ,1695461.766
BEN, BFA ,1693434.873
GMB, NGA ,1692299.653
KNA, VGB ,1692152.208
ABW, ANT ,1691966.532
HTI, ANT ,1683050.403
MSR, LUX ,1681753.536
ITA, THA ,1678934.633
BEL, COL ,1675214.664
FRO, ISL ,1672660.1
MKD, NZL ,1669624.681
TJK, CHE ,1668576.52
HND, FRA ,1664511.694
PER, PRT ,1661212.286
GEO, AUT ,1659878.864
NZL, SWE ,1656891.768
CUB, PRT ,1654105.496
VCT, NZL ,1653873.505
PER, EGY ,1653458.705
ARE, TTO ,1650559.893
NZL, MEX ,1650384.618
SGP, POL ,1649735.651
BEL, VEN ,1649404.247
TJK, FRA ,1647766.104
DEU, PRY ,1646518.033
BDI, ITA ,1644908.259
NER, NZL ,1644422.799
ALB, SWE ,1643147.966
SYR, CAN ,1642803.354
HRV, CZE ,1642789.699
OMN, TZA ,1642236.485
ISR, IRL ,1641731.341
CAN, IND ,1640818.069
ECU, DNK ,1638544.952
COD, ITA ,1637753.733
HND, GBR ,1635566.464
BRA, ECU ,1628867.509
LBN, MEX ,1626093.243
VGB, DNK ,1619205.677
SGP, DNK ,1615986.581
