TargetCode,HostCode,Amount
UGA, POL ,319632188.8
GBR, BEL ,312608725.2
CHE, JOR ,312100575.7
CUB, ESP ,310900420.4
PHL, FRA ,307823196.8
TTO, ITA ,306703302.8
BIH, USA ,306166948.6
AFG, DEU ,300296826.5
ESP, AUS ,299896013.8
ZAF, GBR ,297255547.4
PHL, ITA ,295618193.9
DEU, NLD ,295267711
DEU, TUR ,294198036.4
IDN, USA ,294100602.1
USA, ESP ,293018384.9
ZMB, GBR ,291135580.2
ZAF, CHE ,290723534.3
PRY, JPN ,289846394.6
SWE, FRA ,288901024.4
CHL, ESP ,288292539.2
PLW, USA ,288146649.3
POL, CHE ,285566973
ECU, ITA ,279964805.7
GHA, USA ,279546305
BRA, PRT ,278942105.5
KOR, AUS ,278907329.1
SLB, GBR ,278021364.9
MOZ, THA ,276947667.3
SGP, CZE ,276745089.7
SLB, USA ,276236174.4
GUM, USA ,275323280.7
ESP, USA ,273999881.5
IRQ, CAN ,273352373.5
MSR, DEU ,273274453
ITA, GBR ,272775678.8
BGD, ITA ,271517994.2
COL, VEN ,270822452.6
IND, QAT ,270700480
OMN, QAT ,270700480
PRY, ITA ,270484192.3
TUN, USA ,270355875.3
IRN, CAN ,270138476.4
MAR, PRT ,270118447.9
GRC, AUS ,269018429.6
UGA, ISR ,268594393.3
PER, MYS ,266345901.4
URY, KAZ ,265343642.1
MSR, ISR ,265219745
BLR, UKR ,265026737.5
NLD, NLD ,264751356.6
PNG, ESP ,263854643.3
CAN, GBR ,262284306.5
TUR, RUS ,258548591.1
AUT, CHE ,257432133.3
IND, DEU ,256206104.3
MKD, ITA ,255878258.9
IDN, AUS ,254689616
DEU, AUS ,253075101.8
DEU, KAZ ,252960461.6
GBR, JPN ,251755987.1
MKD, DEU ,251107505.3
OMN, ITA ,250332986.1
IRQ, NLD ,250126989.4
SWE, DEU ,249811921.2
DMA, USA ,249366593
MYS, GBR ,247858669.7
GHA, GBR ,243924405.1
CRI, USA ,242913908.2
MOZ, USA ,241934465
KHM, USA ,240668166.8
KAZ, UKR ,239890647.2
QAT, AUT ,239115339.9
TUN, BEL ,238277116.4
URY, UKR ,237265350.5
ITA, ESP ,236341588.5
FIN, GBR ,235662112.7
PHL, IRL ,235192581.2
AFG, USA ,234005246.4
JOR, SAU ,232559664.4
FJI, AUS ,232490045.7
AFG, GBR ,232121611.3
TZA, DEU ,231248966.9
SAU, FRA ,230445027.7
ALB, MKD ,229643685.9
CZE, DEU ,229547485.8
FIN, CAN ,229489446.5
QAT, FRA ,228079756.1
EGY, ITA ,227967245.9
BRA, GBR ,226977778.9
PHL, BLR ,226419029.4
GBR, DNK ,225989808.1
IRN, DEU ,225801412.3
HUN, DEU ,225749160.2
AUT, USA ,225701229.4
BGD, KWT ,225603958.5
ESP, KWT ,225603958.5
FRA, ISR ,225565218.9
BEL, ESP ,225474608.5
MDA, ITA ,224752793.7
SDN, NLD ,224662917.7
TON, CAN ,224311107.9
DEU, BEL ,224130014.7
ZMB, ZAF ,223338116.6
QAT, GBR ,222941660.5
UGA, ESP ,222464220.1
NPL, USA ,220023049.4
PHL, ESP ,219166713.8
CIV, BFA ,219161937.3
SYR, UZB ,218868093.8
ESP, ARE ,217442210.8
VEN, KOR ,215557992.5
GRC, CAN ,214517848.6
KEN, USA ,214509305.5
BOL, USA ,214296480.8
OMN, ESP ,212936839.4
RWA, NZL ,212741686.7
POL, GBR ,212450288.3
FIN, USA ,211992481.1
ZAF, BRA ,210583157.8
GUY, USA ,210517206.1
CZE, AUT ,209284186.4
ALB, USA ,209204104
FIN, ESP ,208032310.5
LBN, SWE ,208021716.6
MYS, USA ,207924800.7
GBR, PRT ,207551899.3
HUN, USA ,206400556.2
POL, BRA ,205930469.6
DNK, SWE ,205249706.6
SAU, ITA ,205187560.2
NCL, GBR ,204581759.1
SOM, USA ,204478710.7
SLE, AUS ,203025161.4
BEL, NLD ,201348898
TZA, JPN ,200934789.5
ITA, ARG ,196825179.3
CAN, AUS ,196768918.9
ROM, LVA ,195762915.3
BRA, ITA ,195132336.9
ARM, USA ,194563734.9
GBR, AUT ,194210682.3
GBR, PRI ,193968620.6
COD, BEL ,193711204
CHL, ARG ,192929872.1
PHL, AUT ,192690607.2
EGY, ARE ,190261934.5
QAT, GRC ,190212214.8
KAZ, UZB ,189861830
NAM, QAT ,189490336
IRQ, DNK ,189399135.5
KAZ, DEU ,189176358.6
BGR, DEU ,188179901.8
KWT, SAU ,184837122.4
ROM, TJK ,184084065
NPL, AUS ,183449176.7
LBN, AUS ,183045548.1
JPN, AUS ,182440105.3
UGA, MDA ,182309389.8
JPN, DEU ,182259337.1
JOR, USA ,182161665
IND, NZL ,182058395.4
TUN, GBR ,180976171.5
MSR, NLD ,180743715.6
OMN, DEU ,180463412.7
CIV, FRA ,179760637.4
LAO, FRA ,179422741.5
VEN, JPN ,178969078.4
UGA, CAN ,174430513.2
MNP, SWE ,174037221.4
FRA, POL ,173519032.1
MLI, FRA ,173340614.7
LTU, GBR ,173107642.3
CMR, FRA ,171989030.9
PER, ESP ,171000016.5
MEX, CAN ,170868661.3
CYP, GBR ,170484799.2
CHE, USA ,169772441.6
FRA, ITA ,168220813.8
LBR, USA ,167963645.8
NZL, CRI ,167349464
VEN, KHM ,166746627.6
TUN, CHE ,165573696.5
VGB, SAU ,165521247.3
GBR, KOR ,163905168.7
PER, ARE ,163081658.1
PER, DEU ,163074830.8
IRN, QAT ,162420288
MDA, UKR ,161634878.8
BGD, OMN ,161216514.2
COG, FRA ,159824777.3
CPV, PRT ,159774864.7
DZA, ESP ,159631788.5
HKG, GBR ,159427942
AFG, CAN ,159139240.9
FJI, NZL ,158545039.5
ZAF, BEL ,158190481.5
AZE, ARM ,157904006.4
IRN, GBR ,157370583.9
SLE, GBR ,157370583.9
FJI, USA ,156259465.3
COD, FRA ,156107922
PHL, SWE ,155957788.4
ASM, USA ,155363640.6
ESP, IND ,155012881.1
PER, KOR ,154977718.2
TZA, AUS ,154589735.2
SLE, USA ,152635129.3
IRN, SWE ,151497256.3
LVA, RUS ,151244405
NAM, USA ,151164840.4
BEL, DEU ,151122445.9
BRA, DEU ,150986902.7
CHE, SAU ,150880895.1
BIH, SWE ,149344727.8
IND, BHR ,148393898.1
BRB, USA ,147673359.2
PSE, USA ,147022680.9
ZAF, MEX ,146784207.7
ZAF, AND ,146685577.3
BGD, CAN ,146224166.3
NPL, ESP ,145783422
