HostCode,TargetCode,Amount
ALB,FRA,705600
ALB,GUF,0
ALB,PYF,0
ALB,GAB,0
ALB,GMB,0
ALB,GEO,44160
ALB,DEU,450240
ALB,GHA,2208
ALB,GIB,0
ALB,GRC,52800
ALB,GRL,0
ALB,GRD,0
ALB,GLP,0
ALB,GUM,0
ALB,GTM,941.858731
ALB,GIN,1104
ALB,GNB,0
ALB,GUY,336
ALB,HTI,448
ALB,HND,1091.690402
ALB,HKG,960
ALB,HUN,95040
ALB,ISL,0
ALB,IND,20160
ALB,IDN,2880
ALB,IRN,4800
ALB,IRQ,7680
ALB,IRL,3840
ALB,ISR,9600
ALB,ITA,39360
ALB,JAM,896
ALB,JPN,3840
ALB,JOR,2880
ALB,KAZ,110400
ALB,KEN,1104
ALB,KIR,0
ALB,PRK,960
ALB,KOR,2880
ALB,KWT,1920
ALB,KGZ,21120
ALB,LAO,960
ALB,LVA,49920
ALB,LBN,11520
ALB,LSO,0
ALB,LBR,0
ALB,LBY,3312
ALB,LIE,0
ALB,LTU,330240
ALB,LUX,4800
ALB,MAC,0
ALB,MKD,52800
ALB,MDG,0
ALB,MWI,0
ALB,MYS,960
ALB,MDV,0
ALB,MLI,2208
ALB,MLT,0
ALB,MHL,0
ALB,MTQ,0
ALB,MRT,0
ALB,MUS,0
ALB,MYT,0
ALB,MEX,8064
ALB,FSM,0
ALB,MDA,118080
ALB,MCO,0
ALB,MNG,4800
ALB,MSR,0
ALB,MAR,5520
ALB,MOZ,1104
ALB,MMR,960
ALB,NAM,0
ALB,NRU,0
ALB,NPL,960
ALB,NLD,9600
ALB,ANT,0
ALB,NCL,0
ALB,NZL,1920
ALB,NIC,626.6749124
ALB,NER,1104
ALB,NGA,14303.15583
ALB,NIU,0
ALB,NFK,0
ALB,MNP,0
ALB,NOR,2880
ALB,OMN,0
ALB,PAK,8640
ALB,PLW,0
ALB,PSE,1920
ALB,PAN,0
ALB,PNG,0
ALB,PRY,448
ALB,PER,896
ALB,PHL,12480
ALB,POL,122880
ALB,PRT,5760
ALB,PRI,1344
ALB,QAT,0
ALB,REU,0
ALB,ROM,2659200
ALB,RUS,2426880
ALB,RWA,0
ALB,SHN,0
ALB,KNA,0
ALB,LCA,0
ALB,SPM,0
ALB,VCT,0
ALB,WSM,0
ALB,SMR,0
ALB,STP,0
ALB,SAU,960
ALB,SEN,1104
ALB,SCG,434880
ALB,SYC,0
ALB,SLE,0
ALB,SGP,960
ALB,SVK,1050240
ALB,SVN,74880
ALB,SLB,0
ALB,SOM,1104
ALB,ZAF,8832
ALB,ESP,43200
ALB,LKA,14400
ALB,SDN,2208
ALB,SUR,448
ALB,SWZ,0
ALB,SWE,12480
ALB,CHE,43200
ALB,SYR,25920
ALB,TWN,960
ALB,TJK,24000
ALB,TZA,1104
ALB,THA,1920
ALB,TLS,0
ALB,TGO,0
