OriginCode,DestCode,Migrants,,,
ARE,DEU,1152.23,,,
ARE,NZL,813.81,,,
ARE,BHR,651.27,,,
ARE,FRA,535.40,,,
ARE,SWE,510.24,,,
ARE,IRL,449.30,,,
ARE,NLD,448.47,,,
ARE,IRQ,417.88,,,
ARE,DNK,296.08,,,
ARE,ESP,285.91,,,
ARE,CHE,158.24,,,
ARE,NOR,157.08,,,
ARE,CYP,133.39,,,
ARE,BEL,125.34,,,
ARE,MUS,118.35,,,
ARE,HUN,110.87,,,
ARE,SDN,98.73,,,
ARE,POL,88.59,,,
ARE,SVK,80.57,,,
ARE,FIN,61.80,,,
ARE,TUR,50.42,,,
ARE,CZE,31.32,,,
ARE,FSM,29.77,,,
ARE,JPN,24.28,,,
ARE,GRC,15.62,,,
ARE,PRT,14.10,,,
ARE,MAC,11.96,,,
ARE,CHL,10.28,,,
ARE,ITA,9.65,,,
ARE,LUX,9.47,,,
ARE,ECU,6.60,,,
ARE,PAN,5.90,,,
ARE,VEN,3.97,,,
ARE,CYM,2.94,,,
ARE,BOL,1.68,,,
ARE,PER,0.72,,,
ARG,ESP,331173.10,,,
ARG,USA,163353.20,,,
ARG,CHL,82538.96,,,
ARG,PRY,59115.45,,,
ARG,ISR,48312.04,,,
ARG,BOL,45423.63,,,
ARG,BRA,27699.89,,,
ARG,URY,22742.54,,,
ARG,CAN,21093.82,,,
ARG,ITA,16243.12,,,
ARG,AUS,14190.07,,,
ARG,FRA,11151.20,,,
ARG,FSM,9508.17,,,
ARG,GBR,9001.71,,,
ARG,VEN,8533.05,,,
ARG,ECU,7393.92,,,
ARG,DEU,7391.22,,,
ARG,CHE,5705.57,,,
ARG,DOM,3940.24,,,
ARG,JPN,3893.40,,,
ARG,SWE,3220.22,,,
ARG,PER,2997.08,,,
ARG,NLD,2643.77,,,
ARG,COL,2570.39,,,
ARG,BEL,1834.76,,,
ARG,PRT,1465.07,,,
ARG,DNK,1302.22,,,
ARG,AUT,1165.76,,,
ARG,PAN,1154.07,,,
ARG,NZL,994.29,,,
ARG,NOR,826.12,,,
ARG,PHL,818.16,,,
ARG,IRL,545.90,,,
ARG,GTM,431.95,,,
ARG,GRC,414.67,,,
ARG,CZE,312.14,,,
ARG,FIN,269.51,,,
ARG,HUN,248.74,,,
ARG,NIC,226.51,,,
ARG,AND,223.70,,,
ARG,HRV,211.11,,,
ARG,SLV,207.16,,,
ARG,POL,188.91,,,
ARG,CUB,164.26,,,
ARG,TUR,157.97,,,
ARG,MAC,138.73,,,
ARG,HND,118.34,,,
ARG,SVK,114.56,,,
ARG,MUS,114.40,,,
ARG,CYP,75.47,,,
ARG,ANT,52.68,,,
ARG,HTI,52.45,,,
ARG,LUX,46.09,,,
ARG,ISL,40.60,,,
ARG,CYM,17.62,,,
ARG,BHS,8.00,,,
ARG,BLZ,5.46,,,
ARM,RUS,493125.92,,,
ARM,USA,77207.83,,,
ARM,UKR,53192.77,,,
ARM,AZE,42596.01,,,
ARM,GEO,17769.49,,,
ARM,ISR,16509.34,,,
ARM,DEU,15514.53,,,
ARM,FRA,14481.25,,,
ARM,ESP,12387.92,,,
ARM,GRC,8769.12,,,
ARM,KAZ,7356.74,,,
ARM,TKM,7247.61,,,
ARM,BLR,6074.06,,,
ARM,LBN,3163.51,,,
ARM,CAN,2555.24,,,
ARM,POL,1941.28,,,
ARM,NLD,1911.97,,,
ARM,IRN,1374.96,,,
ARM,AUS,1156.23,,,
ARM,BEL,1153.39,,,
ARM,CYP,1037.30,,,
ARM,CZE,931.38,,,
ARM,TUR,890.68,,,
ARM,SWE,888.38,,,
ARM,GBR,789.44,,,
ARM,DNK,743.55,,,
ARM,AUT,589.42,,,
ARM,ITA,553.92,,,
ARM,CHE,473.59,,,
ARM,LUX,431.21,,,
ARM,URY,214.81,,,
ARM,NOR,167.26,,,
ARM,SVK,164.29,,,
ARM,FIN,147.63,,,
ARM,IRL,134.79,,,
ARM,PRT,77.55,,,
ARM,FSM,75.91,,,
ARM,HUN,75.20,,,
ARM,ECU,52.84,,,
ARM,ARG,46.36,,,
ARM,NZL,36.10,,,
