HostCode,TargetCode,Amount
ABW,PER,21952
ABW,PHL,211200
ABW,PLW,960
ABW,PNG,2880
ABW,POL,125760
ABW,PRI,49728
ABW,PRK,28800
ABW,PRT,157440
ABW,PRY,12544
ABW,PSE,58560
ABW,QAT,960
ABW,ROM,321600
ABW,RUS,790080
ABW,RWA,16560
ABW,SAU,12480
ABW,SCG,100800
ABW,SDN,41952
ABW,SEN,30912
ABW,SGP,16320
ABW,SLE,6624
ABW,SLV,35210.54
ABW,SOM,36432
ABW,STP,1104
ABW,SUR,4760
ABW,SVK,30720
ABW,SVN,6720
ABW,SWE,18240
ABW,SWZ,1104
ABW,SYC,1104
ABW,SYR,24960
ABW,TCD,18768
ABW,TGO,13248
ABW,THA,48960
ABW,TJK,53760
ABW,TKM,17280
ABW,TLS,960
ABW,TON,2880
ABW,TTO,10304
ABW,TUN,34560
ABW,TUR,174720
ABW,TWN,34560
ABW,TZA,17664
ABW,UGA,12144
ABW,UKR,384960
ABW,URY,7616
ABW,USA,1101120
ABW,UZB,153600
ABW,VCT,1792
ABW,VEN,2057664
ABW,VGB,448
ABW,VIR,2240
ABW,VNM,126720
ABW,WSM,6720
ABW,YEM,33600
ABW,ZAF,51888
ABW,ZMB,15456
ABW,ZWE,19872
AFG,AGO,30912
AFG,ALB,27840
AFG,ANT,3840
AFG,ARE,58560
AFG,ARG,24000
AFG,ARM,32640
AFG,ASM,1920
AFG,ATG,1920
AFG,AUS,100800
AFG,AUT,81600
AFG,AZE,57600
AFG,BDI,19872
AFG,BEL,81600
AFG,BEN,27600
AFG,BFA,62928
AFG,BGD,15340800
AFG,BGR,30720
AFG,BHR,1920
AFG,BHS,1920
AFG,BIH,46080
AFG,BLR,69120
AFG,BLZ,1920
AFG,BMU,960
AFG,BOL,22702.95
AFG,BRA,34560
AFG,BRB,3840
AFG,BRN,960
AFG,BTN,31680
AFG,BWA,1104
AFG,CAF,2208
AFG,CAN,55680
AFG,CHE,76800
AFG,CHL,21120
AFG,CHN,332160
AFG,CIV,8832
AFG,CMR,7728
AFG,COD,30912
AFG,COG,14352
AFG,COK,960
AFG,COL,63360
AFG,COM,2208
AFG,CPV,8832
AFG,CRI,7915.38
AFG,CUB,43200
AFG,CYP,6720
AFG,CZE,67200
AFG,DEU,160320
AFG,DJI,1104
AFG,DMA,1920
AFG,DNK,43200
AFG,DOM,62626.19
AFG,DZA,96048
AFG,ECU,37737.79
AFG,EGY,99360
AFG,ERI,26496
AFG,ESP,244800
AFG,EST,6720
AFG,ETH,14352
AFG,FIN,12480
AFG,FJI,5760
AFG,FRA,336000
AFG,FSM,960
AFG,GAB,1104
AFG,GBR,175680
AFG,GEO,43200
AFG,GHA,48576
AFG,GIB,960
AFG,GIN,27600
AFG,GMB,2208
AFG,GNB,5520
AFG,GNQ,4416
AFG,GRC,33600
AFG,GRD,2880
AFG,GTM,50456.72
AFG,GUM,4800
AFG,GUY,11520
AFG,HKG,29760
AFG,HND,35090.05
AFG,HRV,21120
AFG,HTI,29760
AFG,HUN,14400
AFG,IDN,65280
AFG,IND,5669760
AFG,IRL,34560
AFG,IRN,38400
AFG,IRQ,37440
AFG,ISL,960
AFG,ISR,34560
AFG,ITA,119040
AFG,JAM,36480
AFG,JOR,24960
AFG,JPN,36480
AFG,KAZ,147840
AFG,KEN,30912
AFG,KGZ,24960
AFG,KHM,12480
AFG,KNA,960
AFG,KOR,58560
AFG,KWT,35520
AFG,LAO,14400
AFG,LBN,21120
AFG,LBR,4416
AFG,LBY,3312
AFG,LCA,1920
AFG,LKA,770880
AFG,LSO,2208
AFG,LTU,11520
AFG,LUX,9600
AFG,LVA,8640
AFG,MAC,3840
AFG,MAR,119232
AFG,MCO,960
AFG,MDA,25920
AFG,MDG,6624
AFG,MDV,960
AFG,MEX,406080
AFG,MHL,960
AFG,MKD,9600
AFG,MLI,75072
AFG,MLT,3840
AFG,MMR,251520
AFG,MNP,960
AFG,MOZ,30912
AFG,MRT,4416
AFG,MSR,960
AFG,MUS,6624
AFG,MWI,5520
AFG,MYS,85440
AFG,NAM,1104
AFG,NER,23184
AFG,NGA,171637.87
AFG,NIC,29543.25
AFG,NLD,28800
AFG,NOR,6720
AFG,NPL,2523840
AFG,NZL,31680
AFG,PAK,3942720
AFG,PAN,7680
AFG,PER,27840
AFG,PHL,134400
AFG,PLW,960
AFG,PNG,2880
AFG,POL,73920
AFG,PRI,62400
AFG,PRK,18240
AFG,PRT,68160
AFG,PRY,16320
AFG,PSE,35520
AFG,ROM,187200
AFG,RUS,470400
AFG,RWA,12144
AFG,SAU,24960
AFG,SCG,59520
AFG,SDN,29808
AFG,SEN,22080
AFG,SGP,29760
AFG,SLE,4416
AFG,SLV,45926.79
AFG,SOM,25392
AFG,STP,1104
AFG,SUR,6000
AFG,SVK,18240
AFG,SVN,3840
AFG,SWE,11520
AFG,SYC,1104
AFG,SYR,15360
AFG,TCD,7728
AFG,TGO,8832
AFG,THA,30720
AFG,TJK,34560
AFG,TKM,10560
AFG,TLS,960
AFG,TON,2880
AFG,TTO,13440
AFG,TUN,24000
AFG,TUR,100800
AFG,TWN,22080
AFG,TZA,11040
AFG,UGA,9936
AFG,UKR,228480
AFG,URY,9600
AFG,USA,92160
AFG,UZB,98880
AFG,VCT,1920
AFG,VEN,13440
AFG,VIR,2880
AFG,VNM,75840
AFG,WSM,6720
AFG,YEM,20160
AFG,ZAF,37536
AFG,ZMB,9936
AFG,ZWE,12144
AGO,AFG,48000
AGO,ALB,94080
AGO,AND,960
AGO,ANT,1920
AGO,ARE,960
AGO,ARG,13440
AGO,ARM,17280
AGO,ATG,960
AGO,AUS,480000
AGO,AUT,278400
AGO,AZE,29760
AGO,BDI,25714
AGO,BEL,273600
AGO,BEN,15847
AGO,BFA,36478
AGO,BGD,110400
AGO,BGR,103680
AGO,BHR,960
AGO,BHS,960
AGO,BIH,155520
AGO,BLR,234240
AGO,BLZ,960
AGO,BMU,1920
AGO,BOL,12770.41
AGO,BRA,21120
AGO,BRB,2880
AGO,BWA,45448
AGO,CAF,2691
AGO,CAN,82560
AGO,CHE,254400
AGO,CHL,12480
AGO,CHN,194880
AGO,CIV,4784
AGO,CMR,4485
AGO,COD,1677091
AGO,COG,60099
AGO,COL,37440
AGO,COM,2990
AGO,CPV,125580
AGO,CRI,4749.23
AGO,CUB,24960
AGO,CYP,3840
AGO,CZE,225600
AGO,DEU,530880
AGO,DJI,3312
AGO,DMA,960
AGO,DNK,144000
AGO,DOM,37237.2
AGO,DZA,181056
AGO,ECU,22363.14
AGO,EGY,185472
AGO,ERI,35282
AGO,ESP,820800
AGO,EST,22080
AGO,ETH,18538
AGO,FIN,42240
AGO,FJI,960
AGO,FRA,9955200
AGO,GAB,1495
AGO,GBR,624960
AGO,GEO,22080
AGO,GHA,27807
AGO,GIB,1920
AGO,GIN,15548
AGO,GMB,1196
AGO,GNB,3289
AGO,GNQ,4784
AGO,GRC,112320
AGO,GRD,1920
AGO,GTM,30274.03
AGO,GUY,6480
AGO,HKG,15360
AGO,HND,21054.03
AGO,HRV,72000
AGO,HTI,17280
AGO,HUN,49920
AGO,IDN,35520
AGO,IND,814080
AGO,IRL,116160
AGO,IRN,17280
AGO,IRQ,20160
AGO,ISL,3840
AGO,ISR,18240
AGO,ITA,404160
AGO,JAM,22080
AGO,JOR,12480
AGO,JPN,29760
AGO,KAZ,78720
AGO,KEN,18538
AGO,KGZ,13440
AGO,KHM,6720
AGO,KNA,960
AGO,KOR,29760
AGO,KWT,4800
AGO,LAO,7680
AGO,LBN,11520
AGO,LBR,2392
AGO,LBY,6624
AGO,LCA,960
AGO,LIE,960
AGO,LKA,17280
AGO,LSO,233818
AGO,LTU,39360
AGO,LUX,28800
AGO,LVA,27840
AGO,MAC,1920
AGO,MAR,225216
AGO,MCO,1920
AGO,MDA,86400
AGO,MDG,149799
AGO,MEX,211200
AGO,MKD,30720
AGO,MLI,41860
AGO,MLT,14400
AGO,MMR,5760
AGO,MOZ,2393196
AGO,MRT,2990
AGO,MUS,251459
AGO,MWI,458068
AGO,MYS,15360
AGO,MYT,1495
AGO,NAM,75348
AGO,NER,13455
AGO,NGA,120086.91
AGO,NIC,17457.37
AGO,NLD,96000
AGO,NOR,22080
AGO,NPL,17280
AGO,NZL,19200
AGO,PAK,235200
AGO,PAN,4800
AGO,PER,16320
AGO,PHL,70080
AGO,POL,249600
AGO,PRI,37440
AGO,PRK,9600
AGO,PRT,1492800
AGO,PRY,9600
AGO,PSE,18240
AGO,ROM,633600
AGO,RUS,1581120
AGO,RWA,15548
AGO,SAU,1920
AGO,SCG,199680
AGO,SDN,14950
AGO,SEN,15249
AGO,SGP,5760
AGO,SLE,2392
AGO,SLV,27337.38
AGO,SMR,960
AGO,SOM,33488
AGO,STP,1196
AGO,SUR,5760
AGO,SVK,61440
AGO,SVN,13440
AGO,SWE,35520
AGO,SWZ,40365
AGO,SYC,24817
AGO,SYR,7680
AGO,TCD,8073
AGO,TGO,5083
AGO,THA,16320
AGO,TJK,18240
AGO,TKM,5760
AGO,TTO,7680
AGO,TUN,46080
AGO,TUR,57600
AGO,TWN,11520
AGO,TZA,596206
AGO,UGA,14950
AGO,UKR,768960
AGO,URY,5760
AGO,USA,172800
AGO,UZB,50880
AGO,VCT,960
AGO,VEN,7680
AGO,VIR,1920
AGO,VNM,42240
AGO,WSM,960
AGO,YEM,10560
AGO,ZAF,1363739
AGO,ZMB,621621
AGO,ZWE,1081483
AIA,ABW,1344
AIA,AFG,960
AIA,ALB,1920
AIA,ANT,62720
AIA,ATG,5376
AIA,AUT,9600
AIA,BEL,9600
AIA,BGD,960
AIA,BGR,2880
AIA,BHS,3136
AIA,BIH,3840
AIA,BLR,5760
AIA,BRA,448
AIA,BRB,8512
AIA,CAN,96000
AIA,CHE,9600
AIA,CHN,1920
AIA,COL,1344
AIA,CUB,86912
AIA,CYM,448
AIA,CZE,4800
AIA,DEU,14400
AIA,DMA,4032
AIA,DNK,4800
AIA,DOM,409947.67
AIA,ESP,24000
AIA,EST,960
AIA,FIN,960
AIA,FRA,57600
AIA,GBR,323520
AIA,GLP,448
AIA,GRC,2880
AIA,GRD,6272
AIA,GUY,93408
AIA,HRV,1920
AIA,HTI,71232
AIA,HUN,960
AIA,IND,1920
AIA,IRL,2880
AIA,ITA,10560
AIA,JAM,146496
AIA,KAZ,960
AIA,KNA,324800
AIA,LCA,5376
AIA,LTU,960
AIA,LVA,960
AIA,MDA,1920
AIA,MEX,1344
AIA,MKD,960
AIA,MSR,88704
AIA,MTQ,448
AIA,NLD,3840
AIA,NOR,960
AIA,PAK,960
AIA,PHL,960
AIA,POL,6720
AIA,PRI,129472
AIA,PRT,5760
AIA,ROM,14400
AIA,RUS,39360
AIA,SCG,4800
AIA,SUR,280
AIA,SVK,1920
AIA,SWE,960
AIA,TCA,448
AIA,TTO,26880
AIA,TUR,960
AIA,UKR,19200
AIA,USA,411840
AIA,UZB,960
AIA,VCT,5376
AIA,VEN,896
AIA,VGB,896
AIA,VIR,5376
ALB,AFG,6720
ALB,AGO,2208
ALB,ARE,960
ALB,ARG,1792
ALB,ARM,29760
ALB,AUS,81600
ALB,AUT,297600
ALB,AZE,39360
ALB,BDI,1104
ALB,BEL,76800
ALB,BEN,1104
ALB,BFA,2208
ALB,BGD,9600
ALB,BGR,80640
ALB,BIH,1579200
ALB,BLR,646080
ALB,BOL,662.17
ALB,BRA,1792
ALB,CAN,16320
ALB,CHE,43200
ALB,CHL,896
ALB,CHN,33600
ALB,COD,1104
ALB,COG,2208
ALB,COL,1792
ALB,CUB,2688
ALB,CYP,960
ALB,CZE,1372800
ALB,DEU,450240
ALB,DNK,38400
ALB,DOM,1579.76
ALB,DZA,7728
ALB,ECU,1304.52
ALB,EGY,11040
ALB,ERI,1104
ALB,ESP,43200
ALB,EST,26880
ALB,ETH,1104
ALB,FIN,12480
ALB,FRA,705600
ALB,GBR,78720
ALB,GEO,44160
ALB,GHA,2208
ALB,GIN,1104
ALB,GRC,52800
ALB,GTM,941.86
ALB,GUY,336
ALB,HKG,960
ALB,HND,1091.69
ALB,HRV,53760
ALB,HTI,448
ALB,HUN,95040
ALB,IDN,2880
ALB,IND,20160
ALB,IRL,3840
ALB,IRN,4800
ALB,IRQ,7680
ALB,ISR,9600
ALB,ITA,39360
ALB,JAM,896
ALB,JOR,2880
ALB,JPN,3840
ALB,KAZ,110400
ALB,KEN,1104
ALB,KGZ,21120
ALB,KHM,960
ALB,KOR,2880
ALB,KWT,1920
ALB,LAO,960
ALB,LBN,11520
ALB,LBY,3312
ALB,LKA,14400
ALB,LTU,330240
ALB,LUX,4800
ALB,LVA,49920
ALB,MAR,5520
ALB,MDA,118080
ALB,MEX,8064
ALB,MKD,52800
ALB,MLI,2208
ALB,MMR,960
ALB,MNG,4800
ALB,MOZ,1104
ALB,MYS,960
ALB,NER,1104
ALB,NGA,14303.16
ALB,NIC,626.67
ALB,NLD,9600
ALB,NOR,2880
ALB,NPL,960
ALB,NZL,1920
ALB,PAK,8640
ALB,PER,896
ALB,PHL,12480
ALB,POL,122880
ALB,PRI,1344
ALB,PRK,960
ALB,PRT,5760
ALB,PRY,448
ALB,PSE,1920
ALB,ROM,2659200
ALB,RUS,2426880
ALB,SAU,960
ALB,SCG,434880
ALB,SDN,2208
ALB,SEN,1104
ALB,SGP,960
ALB,SLV,1020.6
ALB,SOM,1104
ALB,SUR,448
ALB,SVK,1050240
ALB,SVN,74880
ALB,SWE,12480
ALB,SYR,25920
ALB,THA,1920
ALB,TJK,24000
ALB,TKM,16320
ALB,TTO,448
ALB,TUN,1920
ALB,TUR,313920
ALB,TWN,960
ALB,TZA,1104
ALB,UGA,1104
ALB,UKR,1597440
ALB,URY,448
ALB,USA,75840
ALB,UZB,146880
ALB,VEN,448
ALB,VNM,64320
ALB,YEM,1920
ALB,ZAF,8832
ALB,ZMB,1104
ALB,ZWE,1104
AND,AFG,87360
AND,AGO,23184
AND,ALB,20160
AND,ANT,3360
AND,ARE,2520
AND,ARG,739200
AND,ARM,22680
AND,ATG,3360
AND,AUS,243600
AND,AUT,21000
AND,AZE,40320
AND,BDI,11592
AND,BEL,1369200
AND,BEN,17388
AND,BFA,40572
AND,BGD,198240
AND,BGR,22680
AND,BHR,2520
AND,BIH,35280
AND,BLR,52920
AND,BLZ,3360
AND,BOL,19865.09
AND,BRA,33600
AND,BRB,3360
AND,CAF,2898
AND,CAN,50400
AND,CHE,415800
AND,CHL,268800
AND,CHN,245700
AND,CIV,5796
AND,CMR,5796
AND,COD,23184
AND,COG,14490
AND,COL,55860
AND,CPV,5796
AND,CRI,5540.76
AND,CUB,43680
AND,CYP,5040
AND,CZE,16800
AND,DEU,1189440
AND,DNK,12600
AND,DOM,59240.99
AND,DZA,60858
AND,ECU,39135.49
AND,EGY,60858
AND,ERI,17388
AND,ESP,144404400
AND,EST,5040
AND,ETH,8694
AND,FIN,10080
AND,FJI,7560
AND,FRA,24003000
AND,GAB,2898
AND,GBR,3137400
AND,GEO,30240
AND,GHA,28980
AND,GIN,17388
AND,GMB,2898
AND,GNB,2898
AND,GNQ,2898
AND,GRC,25200
AND,GRD,3360
AND,GTM,49447.58
AND,GUM,3780
AND,GUY,11520
AND,HKG,30240
AND,HND,32750.71
AND,HRV,15120
AND,HTI,30240
AND,HUN,10080
AND,IDN,71820
AND,IND,611520
AND,IRL,25200
AND,IRN,25200
AND,IRQ,27720
AND,ISR,25200
AND,ITA,524160
AND,JAM,36960
AND,JOR,17640
AND,JPN,37800
AND,KAZ,105840
AND,KEN,14490
AND,KGZ,17640
AND,KHM,11340
AND,KOR,60480
AND,KWT,10080
AND,LAO,15120
AND,LBN,15120
AND,LBR,2898
AND,LBY,2898
AND,LCA,3360
AND,LKA,30240
AND,LTU,7560
AND,LVA,5040
AND,MAC,3780
AND,MAR,1790964
AND,MDA,20160
AND,MDG,2898
AND,MEX,399840
AND,MKD,7560
AND,MLI,46368
AND,MLT,2520
AND,MMR,11340
AND,MOZ,23184
AND,MRT,2898
AND,MUS,5796
AND,MWI,2898
AND,MYS,30240
AND,NER,14490
AND,NGA,137667.87
AND,NIC,28200.37
AND,NLD,813960
AND,NOR,5040
AND,NPL,30240
AND,NZL,22680
AND,PAK,120960
AND,PAN,6720
AND,PER,26880
AND,PHL,1880340
AND,PNG,3780
AND,POL,55440
AND,PRI,63840
AND,PRK,18900
AND,PRT,22359960
AND,PRY,16800
AND,PSE,25200
AND,ROM,46200
AND,RUS,350280
AND,RWA,5796
AND,SAU,5040
AND,SCG,45360
AND,SDN,17388
AND,SEN,14490
AND,SGP,11340
AND,SLE,2898
AND,SLV,45926.79
AND,SOM,17388
AND,SUR,10080
AND,SVK,12600
AND,SVN,2520
AND,SWE,173880
AND,SYR,10080
AND,TCD,8694
AND,TGO,5796
AND,THA,34020
AND,TJK,22680
AND,TKM,7560
AND,TON,3780
AND,TTO,13440
AND,TUN,15120
AND,TUR,78120
AND,TWN,22680
AND,TZA,8694
AND,UGA,5796
AND,UKR,171360
AND,URY,336000
AND,USA,389760
AND,UZB,68040
AND,VCT,3360
AND,VEN,13440
AND,VIR,3360
AND,VNM,83160
AND,WSM,3780
AND,YEM,15120
AND,ZAF,23184
AND,ZMB,5796
AND,ZWE,8694
ANT,ABW,1445248
ANT,AFG,8640
ANT,AIA,248640
ANT,ALB,4800
ANT,ARG,20160
ANT,ARM,2880
ANT,ATG,473984
ANT,AUT,14400
ANT,AZE,4800
ANT,BEL,14400
ANT,BGD,18240
ANT,BGR,4800
ANT,BHS,64960
ANT,BIH,7680
ANT,BLR,10560
ANT,BLZ,896
ANT,BOL,21851.59
ANT,BRA,33600
ANT,BRB,210112
ANT,CAN,164160
ANT,CHE,9600
ANT,CHL,20608
ANT,CHN,20160
ANT,COL,1162112
ANT,CRI,3693.84
ANT,CUB,917504
ANT,CYM,52864
ANT,CYP,960
ANT,CZE,9600
ANT,DEU,24000
ANT,DMA,47040
ANT,DNK,4800
ANT,DOM,6849048.62
ANT,ECU,37178.71
ANT,ESP,230400
ANT,EST,960
ANT,FIN,1920
ANT,FRA,916800
ANT,GBR,157440
ANT,GEO,3840
ANT,GLP,91392
ANT,GRC,4800
ANT,GRD,7168
ANT,GTM,26372.04
ANT,GUF,2688
ANT,GUY,431424
ANT,HKG,184320
ANT,HND,18558.74
ANT,HRV,2880
ANT,HTI,1437632
ANT,HUN,1920
ANT,IDN,186240
ANT,IND,38400
ANT,IRL,5760
ANT,IRN,2880
ANT,IRQ,3840
ANT,ISR,2880
ANT,ITA,74880
ANT,JAM,664384
ANT,JOR,1920
ANT,JPN,241920
ANT,KAZ,13440
ANT,KGZ,1920
ANT,KHM,960
ANT,KNA,252224
ANT,KOR,4800
ANT,KWT,960
ANT,LAO,960
ANT,LBN,988800
ANT,LCA,896
ANT,LKA,2880
ANT,LTU,1920
ANT,LVA,960
ANT,MDA,3840
ANT,MEX,14784
ANT,MKD,960
ANT,MLT,960
ANT,MMR,960
ANT,MSR,219520
ANT,MTQ,88704
ANT,MYS,2880
ANT,NIC,15666.87
ANT,NLD,6767040
ANT,NOR,6720
ANT,NPL,2880
ANT,NZL,10560
ANT,PAK,11520
ANT,PAN,4032
ANT,PER,27776
ANT,PHL,11520
ANT,POL,11520
ANT,PRI,34048
ANT,PRK,1920
ANT,PRT,964800
ANT,PRY,15680
ANT,PSE,2880
ANT,ROM,28800
ANT,RUS,72960
ANT,SAU,960
ANT,SCG,9600
ANT,SGP,960
ANT,SLV,23473.69
ANT,SUR,670880
ANT,SVK,2880
ANT,SVN,960
ANT,SWE,1920
ANT,SYR,960
ANT,TCA,34944
ANT,THA,2880
ANT,TJK,2880
ANT,TKM,960
ANT,TTO,34496
ANT,TUR,9600
ANT,TWN,73920
ANT,UKR,35520
ANT,URY,9408
ANT,USA,1096320
ANT,UZB,8640
ANT,VCT,56896
ANT,VEN,671104
ANT,VGB,814016
ANT,VIR,76160
ANT,VNM,6720
ANT,YEM,1920
ARE,ABW,16200
ARE,AFG,101403900
ARE,AGO,774697.5
ARE,AIA,5400
ARE,ALB,1159650
ARE,AND,9450
ARE,ANT,130950
ARE,ARG,2497500
ARE,ARM,1733400
ARE,ASM,59400
ARE,ATG,79650
ARE,AUS,3061800
ARE,AUT,5761800
ARE,AZE,4054050
ARE,BDI,507667.5
ARE,BEL,4136400
ARE,BEN,709492.5
ARE,BFA,1644097.5
ARE,BGD,32455350
ARE,BGR,26673300
ARE,BHR,2971350
ARE,BHS,51300
ARE,BIH,1759050
ARE,BLR,4009500
ARE,BLZ,70200
ARE,BMU,35100
ARE,BOL,756247.84
ARE,BRA,1178550
ARE,BRB,139050
ARE,BRN,21600
ARE,BTN,13500
ARE,BWA,15525
ARE,CAF,58995
ARE,CAN,2010150
ARE,CHE,4314600
ARE,CHL,703350
ARE,CHN,7623450
ARE,CIV,217350
ARE,CMR,217350
ARE,COD,760725
ARE,COG,307395
ARE,COK,33750
ARE,COL,2139750
ARE,COM,100912.5
ARE,CPV,234427.5
ARE,CRI,249334.34
ARE,CUB,1449900
ARE,CYM,5400
ARE,CYP,762750
ARE,CZE,4260600
ARE,DEU,20906100
ARE,DJI,37260
ARE,DMA,54000
ARE,DNK,1911600
ARE,DOM,2125535.08
ARE,DZA,6237945
ARE,ECU,1287409.04
ARE,EGY,75532230
ARE,ERI,3091027.5
ARE,ESP,7155000
ARE,EST,480600
ARE,ETH,5221057.5
ARE,FIN,534600
ARE,FJI,216000
ARE,FLK,2700
ARE,FRA,17409600
ARE,FSM,33750
ARE,GAB,32602.5
ARE,GBR,8834400
ARE,GEO,2623050
ARE,GHA,1273050
ARE,GIB,21600
ARE,GIN,704835
ARE,GLP,2700
ARE,GMB,60547.5
ARE,GNB,144382.5
ARE,GNQ,113332.5
ARE,GRC,4887000
ARE,GRD,89100
ARE,GRL,6750
ARE,GTM,1717105.18
ARE,GUF,1350
ARE,GUM,128250
ARE,GUY,336600
ARE,HKG,947700
ARE,HND,1187578.83
ARE,HRV,769500
ARE,HTI,1000350
ARE,HUN,1080000
ARE,IDN,17682300
ARE,IND,2700000000
ARE,IRL,1254150
ARE,IRN,5352750
ARE,IRQ,28142100
ARE,ISL,44550
ARE,ISR,30908250
ARE,ITA,4368600
ARE,JAM,1244700
ARE,JOR,25070850
ARE,JPN,1255500
ARE,KAZ,7881300
ARE,KEN,628762.5
ARE,KGZ,1640250
ARE,KHM,398250
ARE,KIR,5400
ARE,KNA,44550
ARE,KOR,1890000
ARE,KWT,17023500
ARE,LAO,452250
ARE,LBN,4342950
ARE,LBR,107122.5
ARE,LBY,1521450
ARE,LCA,66150
ARE,LIE,5400
ARE,LKA,8698050
ARE,LSO,41917.5
ARE,LTU,1020600
ARE,LUX,237600
ARE,LVA,719550
ARE,MAC,132300
ARE,MAR,16231387.5
ARE,MCO,25650
ARE,MDA,1707750
ARE,MDG,183195
ARE,MDV,1350
ARE,MEX,15427800
ARE,MHL,16200
ARE,MKD,1973700
ARE,MLI,1957702.5
ARE,MLT,149850
ARE,MMR,344250
ARE,MNG,20250
ARE,MNP,14850
ARE,MOZ,765382.5
ARE,MRT,232875
ARE,MSR,20250
ARE,MTQ,4050
ARE,MUS,164565
ARE,MWI,135067.5
ARE,MYS,908550
ARE,NAM,21735
ARE,NCL,2700
ARE,NER,608580
ARE,NGA,8541665.87
ARE,NIC,993307.71
ARE,NIU,9450
ARE,NLD,2218050
ARE,NOR,414450
ARE,NPL,1777950
ARE,NRU,1350
ARE,NZL,793800
ARE,OMN,457650
ARE,PAK,44169300
ARE,PAN,248400
ARE,PER,950400
ARE,PHL,25043850
ARE,PLW,16200
ARE,PNG,75600
ARE,POL,6720300
ARE,PRI,2092500
ARE,PRK,594000
ARE,PRT,2485350
ARE,PRY,546750
ARE,PSE,39042000
ARE,PYF,5400
ARE,QAT,398250
ARE,ROM,34862400
ARE,RUS,41399100
ARE,RWA,310500
ARE,SAU,6330150
ARE,SCG,7987950
ARE,SDN,14458432.5
ARE,SEN,571320
ARE,SGP,336150
ARE,SHN,5400
ARE,SLB,6750
ARE,SLE,113332.5
ARE,SLV,1530038.82
ARE,SMR,8100
ARE,SOM,2420347.5
ARE,STP,27945
ARE,SUR,319950
ARE,SVK,912600
ARE,SVN,147150
ARE,SWE,653400
ARE,SWZ,15525
ARE,SYC,15525
ARE,SYR,8611650
ARE,TCA,2700
ARE,TCD,684652.5
ARE,TGO,234427.5
ARE,THA,1946700
ARE,TJK,2031750
ARE,TKL,4050
ARE,TKM,1115100
ARE,TLS,27000
ARE,TON,75600
ARE,TTO,440100
ARE,TUN,2380050
ARE,TUR,9344700
ARE,TUV,2700
ARE,TWN,715500
