HostCode,TargetCode,Amount
ABW,AFG,145920
ABW,AGO,51888
ABW,ALB,47040
ABW,ANT,3136
ABW,ARE,6720
ABW,ARG,18368
ABW,ARM,50880
ABW,ASM,2880
ABW,ATG,1792
ABW,AUS,134400
ABW,AUT,139200
ABW,AZE,90240
ABW,BDI,26496
ABW,BEL,139200
ABW,BEN,38640
ABW,BFA,89424
ABW,BGD,333120
ABW,BGR,52800
ABW,BHR,6720
ABW,BHS,1344
ABW,BIH,78720
ABW,BLR,117120
ABW,BLZ,1792
ABW,BMU,1920
ABW,BOL,17216.41
ABW,BRA,26880
ABW,BRB,3136
ABW,BRN,960
ABW,BTN,960
ABW,BWA,1104
ABW,CAF,6624
ABW,CAN,84480
ABW,CHE,129600
ABW,CHL,16128
ABW,CHN,366720
ABW,CIV,12144
ABW,CMR,11040
ABW,COD,50784
ABW,COG,35328
ABW,COK,1920
ABW,COL,4703104
ABW,COM,3312
ABW,CPV,13248
ABW,CRI,5910.15
ABW,CUB,33152
ABW,CYP,10560
ABW,CZE,115200
ABW,DEU,255360
ABW,DJI,1104
ABW,DMA,14336
ABW,DNK,72000
ABW,DOM,3084481.01
ABW,DZA,135792
ABW,ECU,30003.87
ABW,EGY,140208
ABW,ERI,38640
ABW,ESP,412800
ABW,EST,10560
ABW,ETH,19872
ABW,FIN,21120
ABW,FJI,9600
ABW,FRA,528000
ABW,FSM,1920
ABW,GAB,3312
ABW,GBR,265920
ABW,GEO,67200
ABW,GHA,65136
ABW,GIB,960
ABW,GIN,38640
ABW,GMB,3312
ABW,GNB,7728
ABW,GNQ,6624
ABW,GRC,56640
ABW,GRD,2240
ABW,GTM,39558.07
ABW,GUM,5760
ABW,GUY,8736
ABW,HKG,46080
ABW,HND,27292.26
ABW,HRV,36480
ABW,HTI,22848
ABW,HUN,24960
ABW,IDN,105600
ABW,IND,510720
ABW,IRL,58560
ABW,IRN,55680
ABW,IRQ,63360
ABW,ISL,1920
ABW,ISR,54720
ABW,ITA,202560
ABW,JAM,28672
ABW,JOR,39360
ABW,JPN,56640
ABW,KAZ,237120
ABW,KEN,32016
ABW,KGZ,39360
ABW,KHM,19200
ABW,KNA,896
ABW,KOR,91200
ABW,KWT,24960
ABW,LAO,22080
ABW,LBN,35520
ABW,LBR,5520
ABW,LBY,5520
ABW,LCA,1344
ABW,LKA,51840
ABW,LSO,3312
ABW,LTU,20160
ABW,LUX,14400
ABW,LVA,14400
ABW,MAC,6720
ABW,MAR,168912
ABW,MCO,960
ABW,MDA,43200
ABW,MDG,9936
ABW,MEX,314048
ABW,MHL,960
ABW,MKD,15360
ABW,MLI,105984
ABW,MLT,6720
ABW,MMR,17280
ABW,MNP,960
ABW,MOZ,51888
ABW,MRT,6624
ABW,MSR,448
ABW,MUS,11040
ABW,MWI,8832
ABW,MYS,44160
ABW,NAM,1104
ABW,NER,33120
ABW,NGA,300366.27
ABW,NIC,22560.3
ABW,NLD,48000
ABW,NOR,10560
ABW,NPL,50880
ABW,NZL,33600
ABW,OMN,960
ABW,PAK,203520
ABW,PAN,5824
